t_sec,ff_count,ff_peak,ff_born_init,ff_born_breed,ff_born_replenish,ff_born_moss,ff_died_age,ff_died_hunger,ff_died_predator,worm_count,worm_peak,worm_born_init,worm_born_breed,worm_born_replenish,worm_died_age,worm_died_hunger,worm_killed_ff,worm_cells_dug,crystal_growing,crystal_mature,crystal_seeded,crystal_matured,crystal_destroyed,mushroom_count,moss_active,moss_total,rock_count,rock_total
30.0,50,50,50,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,23,0,23,0,0,500,3746,160000,112288,160000
60.1,40,50,50,2,0,0,0,12,0,6,6,6,0,0,0,0,0,0,40,0,40,0,0,500,3776,160000,112288,160000
90.1,44,50,50,10,0,0,0,15,1,3,6,6,0,0,0,3,1,0,75,0,75,0,0,500,3805,160000,112288,160000
120.1,41,50,50,10,0,0,0,18,1,2,6,6,0,1,0,5,1,0,94,0,94,0,0,500,3832,160000,112288,160000
150.1,35,50,50,16,0,0,9,21,1,1,6,6,0,1,0,6,1,0,79,21,100,21,0,500,3858,160000,112288,160000
180.1,21,50,50,16,0,0,13,31,1,2,6,6,0,3,0,7,1,0,64,36,100,36,0,500,3894,160000,112288,160000
210.1,10,50,50,16,0,0,22,33,1,2,6,6,0,3,0,7,1,0,30,70,100,70,0,500,3912,160000,112288,160000
240.1,6,50,50,16,2,0,28,33,1,2,6,6,0,4,0,8,1,0,13,87,100,87,0,500,3948,160000,112288,160000
270.2,6,50,50,16,4,0,29,34,1,1,6,6,0,4,0,9,1,0,0,100,100,100,0,500,3975,160000,112288,160000
300.2,7,50,50,16,6,0,30,34,1,2,6,6,0,5,0,9,1,0,0,100,100,100,0,500,4006,160000,112288,160000
330.2,8,50,50,16,8,0,30,35,1,2,6,6,0,6,0,10,1,0,0,100,100,100,0,500,4030,160000,112288,160000
360.3,5,50,50,16,8,0,31,37,1,2,6,6,0,6,0,10,1,0,0,100,100,100,0,500,4058,160000,112288,160000
390.3,6,50,50,16,10,0,31,38,1,2,6,6,0,7,0,11,1,0,0,100,100,100,0,500,4089,160000,112288,160000
420.4,6,50,50,16,12,1,34,38,1,1,6,6,0,7,0,12,1,0,0,100,100,100,0,500,4113,160000,112288,160000
450.4,7,50,50,16,13,1,34,38,1,2,6,6,0,8,0,12,1,0,0,100,100,100,0,500,4139,160000,112288,160000
480.5,7,50,50,16,13,1,34,38,1,2,6,6,0,9,0,13,1,0,0,100,100,100,0,500,4177,160000,112288,160000
510.5,6,50,50,16,15,1,36,39,1,2,6,6,0,9,0,13,1,0,0,100,100,100,0,500,4213,160000,112288,160000
540.5,6,50,50,16,17,1,38,39,1,2,6,6,0,10,0,14,1,0,0,100,100,100,0,500,4237,160000,112288,160000
570.6,6,50,50,16,19,1,39,40,1,1,6,6,0,10,0,15,1,0,0,100,100,100,0,500,4260,160000,112288,160000
600.6,8,50,50,16,21,1,39,40,1,2,6,6,0,11,0,15,1,0,0,100,100,100,0,500,4283,160000,112288,160000
630.7,7,50,50,16,22,1,40,41,1,2,6,6,0,12,0,16,1,0,0,100,100,100,0,500,4315,160000,112288,160000
660.7,9,50,50,16,24,1,40,41,1,2,6,6,0,13,0,17,1,0,0,100,100,100,0,500,4352,160000,112288,160000
690.8,7,50,50,16,26,1,42,43,1,2,6,6,0,13,0,17,1,0,0,100,100,100,0,500,4375,160000,112288,160000
720.8,7,50,50,16,28,1,43,44,1,1,6,6,0,13,0,18,1,0,0,100,100,100,0,500,4408,160000,112288,160000
750.8,7,50,50,16,29,1,43,45,1,1,6,6,0,14,0,19,1,0,0,100,100,100,0,500,4438,160000,112288,160000
780.9,8,50,50,16,31,1,43,46,1,2,6,6,0,15,0,19,1,0,0,100,100,100,0,500,4473,160000,112288,160000
810.9,8,50,50,16,33,1,44,47,1,2,6,6,0,16,0,20,1,0,0,100,100,100,0,500,4503,160000,112288,160000
841.0,9,50,50,16,35,1,44,48,1,2,6,6,0,17,0,21,1,0,0,100,100,100,0,500,4529,160000,112288,160000
871.0,9,50,50,16,37,1,45,49,1,2,6,6,0,17,0,21,1,0,0,100,100,100,0,500,4558,160000,112288,160000
901.1,9,50,50,16,38,1,45,50,1,0,6,6,0,17,0,23,1,0,0,100,100,100,0,500,4594,160000,112288,160000
931.1,9,50,50,16,40,1,45,51,2,2,6,6,0,19,0,23,2,0,0,100,100,100,0,500,4613,160000,112288,160000
961.1,6,50,50,16,42,1,48,53,2,2,6,6,0,19,0,23,2,0,0,100,100,100,0,500,4645,160000,112288,160000
991.2,5,50,50,16,43,1,50,53,2,2,6,6,0,19,0,23,2,0,0,100,100,100,0,500,4674,160000,112288,160000
1021.2,3,50,50,16,44,1,51,55,2,1,6,6,0,19,0,24,2,0,0,100,100,100,0,500,4701,160000,112288,160000
1051.3,4,50,50,16,45,1,51,55,2,1,6,6,0,20,0,25,2,0,0,100,100,100,0,500,4732,160000,112288,160000
1081.3,5,50,50,16,47,1,51,56,2,2,6,6,0,21,0,25,2,0,0,100,100,100,0,500,4768,160000,112288,160000
1111.3,7,50,50,16,49,1,51,56,2,1,6,6,0,21,0,26,2,0,0,100,100,100,0,500,4792,160000,112288,160000
1141.3,5,50,50,16,50,1,51,59,2,1,6,6,0,22,0,27,2,0,0,100,100,100,0,500,4818,160000,112288,160000
1171.4,5,50,50,16,52,1,51,61,2,2,6,6,0,23,0,27,2,0,0,100,100,100,0,500,4844,160000,112288,160000
1200.0,4,50,50,16,54,1,51,64,2,1,6,6,0,23,0,28,2,0,0,100,100,100,0,500,4872,160000,112288,160000
