t_sec,ff_count,ff_peak,ff_born_init,ff_born_breed,ff_born_replenish,ff_born_moss,ff_died_age,ff_died_hunger,ff_died_predator,worm_count,worm_peak,worm_born_init,worm_born_breed,worm_born_replenish,worm_died_age,worm_died_hunger,worm_killed_ff,worm_cells_dug,crystal_growing,crystal_mature,crystal_seeded,crystal_matured,crystal_destroyed,mushroom_count,moss_active,moss_total,rock_count,rock_total
30.0,49,50,50,0,0,0,0,0,1,6,6,6,0,0,0,0,1,0,50,0,50,0,0,500,2907,160000,125586,160000
60.1,37,50,50,2,0,0,0,13,2,6,6,6,0,0,0,0,2,0,76,0,76,0,0,500,2925,160000,125586,160000
90.1,36,50,50,10,0,0,0,22,2,2,6,6,0,0,0,4,2,0,100,0,100,0,0,500,2945,160000,125586,160000
120.1,36,50,50,15,0,0,0,27,2,2,6,6,0,1,0,5,2,0,100,0,100,0,0,500,2970,160000,125586,160000
150.1,27,50,50,16,0,0,4,33,2,2,6,6,0,1,0,5,2,0,55,45,100,45,0,500,2987,160000,125586,160000
180.1,25,50,50,21,0,0,7,37,2,1,6,6,0,2,0,7,2,0,29,71,100,71,0,500,3007,160000,125586,160000
210.1,15,50,50,22,0,0,9,46,2,2,6,6,0,3,0,7,2,0,0,100,100,100,0,500,3025,160000,125586,160000
240.1,6,50,50,22,1,0,14,51,2,2,6,6,0,3,0,7,2,0,0,100,100,100,0,500,3061,160000,125586,160000
270.2,3,50,50,22,2,0,16,53,2,2,6,6,0,4,0,8,2,0,0,100,100,100,0,500,3087,160000,125586,160000
300.2,3,50,50,22,3,0,16,54,2,1,6,6,0,4,0,9,2,0,0,100,100,100,0,500,3104,160000,125586,160000
330.2,5,50,50,22,5,0,16,54,2,2,6,6,0,5,0,9,2,0,0,100,100,100,0,500,3135,160000,125586,160000
360.3,4,50,50,22,7,0,17,56,2,2,6,6,0,6,0,10,2,0,0,100,100,100,0,500,3162,160000,125586,160000
390.3,5,50,50,22,9,0,17,57,2,2,6,6,0,7,0,11,2,0,0,100,100,100,0,500,3179,160000,125586,160000
420.4,7,50,50,22,11,0,17,57,2,2,6,6,0,7,0,11,2,0,0,100,100,100,0,500,3198,160000,125586,160000
450.4,7,50,50,22,13,0,18,58,2,1,6,6,0,7,0,12,2,0,0,100,100,100,0,500,3227,160000,125586,160000
480.5,6,50,50,22,14,0,18,60,2,2,6,6,0,9,0,13,2,0,0,100,100,100,0,500,3247,160000,125586,160000
510.5,5,50,50,22,16,0,18,63,2,2,6,6,0,9,0,13,2,0,0,100,100,100,0,500,3270,160000,125586,160000
540.5,6,50,50,22,17,0,18,63,2,1,6,6,0,9,0,14,2,0,0,100,100,100,0,500,3299,160000,125586,160000
570.6,5,50,50,23,17,0,20,63,2,1,6,6,0,10,0,15,2,0,0,100,100,100,0,500,3322,160000,125586,160000
600.6,6,50,50,23,19,0,20,64,2,2,6,6,0,11,0,15,2,0,0,100,100,100,0,500,3347,160000,125586,160000
630.7,7,50,50,23,20,0,20,64,2,2,6,6,0,11,0,15,2,0,0,100,100,100,0,500,3371,160000,125586,160000
660.7,4,50,50,23,21,0,22,66,2,1,6,6,0,12,0,17,2,0,0,100,100,100,0,500,3392,160000,125586,160000
690.8,4,50,50,23,23,0,23,67,2,2,6,6,0,13,0,17,2,0,0,100,100,100,0,500,3407,160000,125586,160000
720.8,2,50,50,23,23,0,23,69,2,2,6,6,0,13,0,17,2,0,0,100,100,100,0,500,3427,160000,125586,160000
750.8,3,50,50,23,24,0,23,69,2,1,6,6,0,13,0,18,2,0,0,100,100,100,0,500,3451,160000,125586,160000
780.9,5,50,50,23,26,0,23,69,2,2,6,6,0,15,0,19,2,0,0,100,100,100,0,500,3469,160000,125586,160000
810.9,5,50,50,23,26,0,23,69,2,2,6,6,0,15,0,19,2,0,0,100,100,100,0,500,3504,160000,125586,160000
841.0,5,50,50,23,28,0,23,71,2,1,6,6,0,15,0,20,2,0,0,100,100,100,0,500,3526,160000,125586,160000
871.0,6,50,50,23,30,0,23,72,2,1,6,6,0,16,0,21,2,0,0,100,100,100,0,500,3555,160000,125586,160000
901.1,5,50,50,23,32,0,25,73,2,2,6,6,0,17,0,21,2,0,0,100,100,100,0,500,3572,160000,125586,160000
931.1,6,50,50,23,34,0,25,74,2,2,6,6,0,18,0,22,2,0,0,100,100,100,0,500,3600,160000,125586,160000
961.1,7,50,50,23,35,0,25,74,2,2,6,6,0,19,0,23,2,0,0,100,100,100,0,500,3625,160000,125586,160000
991.2,7,50,50,23,36,0,25,75,2,2,6,6,0,19,0,23,2,0,0,100,100,100,0,500,3663,160000,125586,160000
1021.2,3,50,50,23,37,0,26,79,2,1,6,6,0,19,0,24,2,0,0,100,100,100,0,500,3688,160000,125586,160000
1051.3,5,50,50,23,39,0,26,79,2,1,6,6,0,20,0,25,2,0,0,100,100,100,0,500,3719,160000,125586,160000
1081.3,5,50,50,23,40,0,27,79,2,2,6,6,0,21,0,25,2,0,0,100,100,100,0,500,3754,160000,125586,160000
1111.3,5,50,50,23,42,0,27,81,2,2,6,6,0,22,0,26,2,0,0,100,100,100,0,500,3778,160000,125586,160000
1141.3,3,50,50,23,43,0,28,82,3,2,6,6,0,22,0,26,3,0,0,100,100,100,0,500,3804,160000,125586,160000
1171.4,4,50,50,23,45,0,28,83,3,2,6,6,0,22,0,26,3,0,0,100,100,100,0,500,3830,160000,125586,160000
1200.0,2,50,50,23,45,0,28,85,3,0,6,6,0,22,0,28,3,0,0,100,100,100,0,500,3847,160000,125586,160000
