t_sec,ff_count,ff_peak,ff_born_init,ff_born_breed,ff_born_replenish,ff_born_moss,ff_died_age,ff_died_hunger,ff_died_predator,worm_count,worm_peak,worm_born_init,worm_born_breed,worm_born_replenish,worm_died_age,worm_died_hunger,worm_killed_ff,worm_cells_dug,crystal_growing,crystal_mature,crystal_seeded,crystal_matured,crystal_destroyed,mushroom_count,moss_active,moss_total,rock_count,rock_total
30.0,49,50,50,0,0,0,0,0,1,6,6,6,0,0,0,0,1,0,7,0,7,0,0,500,3933,160000,114632,160000
60.1,43,50,50,6,0,0,0,12,1,6,6,6,0,0,0,0,1,0,17,0,17,0,0,500,3963,160000,114632,160000
90.1,53,53,50,17,0,0,0,13,1,4,6,6,0,0,0,2,1,0,29,0,29,0,0,500,4001,160000,114632,160000
120.1,46,53,50,21,0,0,0,24,1,2,6,6,0,1,0,5,1,0,36,0,36,0,0,500,4038,160000,114632,160000
150.1,40,53,50,28,0,0,4,33,1,1,6,6,0,1,0,6,1,0,37,5,42,5,0,500,4065,160000,114632,160000
180.1,22,53,50,28,0,0,11,44,1,2,6,6,0,3,0,7,1,0,30,13,43,13,0,500,4099,160000,114632,160000
210.1,8,53,50,28,0,0,13,56,1,2,6,6,0,3,0,7,1,0,16,27,43,27,0,500,4125,160000,114632,160000
240.1,3,53,50,28,2,0,18,58,1,1,6,6,0,3,0,8,1,0,8,35,43,35,0,500,4146,160000,114632,160000
270.2,5,53,50,28,4,0,18,58,1,1,6,6,0,4,0,9,1,0,3,40,43,40,0,500,4173,160000,114632,160000
300.2,5,53,50,28,6,0,18,60,1,2,6,6,0,5,0,9,1,0,0,43,43,43,0,500,4214,160000,114632,160000
330.2,5,53,50,28,8,0,19,61,1,1,6,6,0,5,0,10,1,0,1,43,44,43,0,500,4240,160000,114632,160000
360.3,7,53,50,28,10,0,19,61,1,2,6,6,0,6,0,10,1,0,3,43,46,43,0,500,4262,160000,114632,160000
390.3,8,53,50,28,11,0,19,61,1,2,6,6,0,7,0,11,1,0,5,43,48,43,0,500,4290,160000,114632,160000
420.4,9,53,50,28,13,0,20,61,1,2,6,6,0,7,0,11,1,0,7,43,50,43,0,500,4318,160000,114632,160000
450.4,12,53,50,30,14,0,20,61,1,1,6,6,0,7,0,12,1,0,7,44,51,44,0,500,4348,160000,114632,160000
480.5,11,53,50,31,14,0,21,62,1,2,6,6,0,9,0,13,1,0,7,46,53,46,0,500,4375,160000,114632,160000
510.5,11,53,50,31,16,0,23,62,1,2,6,6,0,9,0,13,1,0,8,48,56,48,0,500,4402,160000,114632,160000
540.5,11,53,50,32,18,0,24,64,1,1,6,6,0,9,0,14,1,0,9,49,58,49,0,500,4431,160000,114632,160000
570.6,11,53,50,32,20,0,26,64,1,1,6,6,0,10,0,15,1,0,8,51,59,51,0,500,4456,160000,114632,160000
600.6,11,53,50,34,21,0,28,65,1,2,6,6,0,11,0,15,1,0,9,53,62,53,0,500,4484,160000,114632,160000
630.7,11,53,50,34,22,0,28,66,1,2,6,6,0,11,0,15,1,0,8,55,63,55,0,500,4512,160000,114632,160000
660.7,10,53,50,34,24,0,29,68,1,1,6,6,0,12,0,17,1,0,5,58,63,58,0,500,4540,160000,114632,160000
690.8,10,53,50,34,26,0,30,69,1,2,6,6,0,13,0,17,1,0,6,58,64,58,0,500,4572,160000,114632,160000
720.8,7,53,50,34,28,0,32,72,1,2,6,6,0,13,0,17,1,0,4,61,65,61,0,500,4598,160000,114632,160000
750.8,9,53,50,34,30,0,32,72,1,0,6,6,0,13,0,19,1,0,2,63,65,63,0,500,4633,160000,114632,160000
780.9,9,53,50,34,31,0,32,73,1,2,6,6,0,15,0,19,1,0,4,63,67,63,0,500,4664,160000,114632,160000
810.9,9,53,50,34,33,0,34,73,1,2,6,6,0,15,0,19,1,0,4,64,68,64,0,500,4691,160000,114632,160000
841.0,10,53,50,34,35,0,34,74,1,2,6,6,0,16,0,20,1,0,5,65,70,65,0,500,4727,160000,114632,160000
871.0,8,53,50,34,36,0,36,75,1,2,6,6,0,17,0,21,1,0,6,65,71,65,0,500,4753,160000,114632,160000
901.1,7,53,50,34,38,0,39,75,1,2,6,6,0,17,0,21,1,0,4,67,71,67,0,500,4780,160000,114632,160000
931.1,4,53,50,34,40,0,40,79,1,2,6,6,0,18,0,22,1,0,3,68,71,68,0,500,4811,160000,114632,160000
961.1,4,53,50,34,41,0,40,79,2,2,6,6,0,19,0,23,2,0,1,70,71,70,0,500,4842,160000,114632,160000
991.2,6,53,50,34,43,0,40,79,2,2,6,6,0,19,0,23,2,0,0,71,71,71,0,500,4876,160000,114632,160000
1021.2,6,53,50,34,45,0,40,81,2,1,6,6,0,19,0,24,2,0,0,71,71,71,0,500,4913,160000,114632,160000
1051.3,6,53,50,34,46,0,40,82,2,1,6,6,0,20,0,25,2,0,0,71,71,71,0,500,4950,160000,114632,160000
1081.3,6,53,50,34,47,0,40,83,2,2,6,6,0,21,0,25,2,0,0,71,71,71,0,500,4975,160000,114632,160000
1111.3,6,53,50,34,49,0,40,85,2,2,6,6,0,21,0,25,2,0,0,71,71,71,0,500,4997,160000,114632,160000
1141.3,5,53,50,34,50,0,40,87,2,2,6,6,0,22,0,26,2,0,0,71,71,71,0,500,5032,160000,114632,160000
1171.4,6,53,50,34,52,0,40,88,2,2,6,6,0,23,0,27,2,0,0,71,71,71,0,500,5059,160000,114632,160000
1200.0,6,53,50,34,54,0,41,89,2,2,6,6,0,23,0,27,2,0,1,71,72,71,0,500,5090,160000,114632,160000
