t_sec,ff_count,ff_peak,ff_born_init,ff_born_breed,ff_born_replenish,ff_born_moss,ff_died_age,ff_died_hunger,ff_died_predator,worm_count,worm_peak,worm_born_init,worm_born_breed,worm_born_replenish,worm_died_age,worm_died_hunger,worm_killed_ff,worm_cells_dug,crystal_growing,crystal_mature,crystal_seeded,crystal_matured,crystal_destroyed,mushroom_count,moss_active,moss_total,rock_count,rock_total
30.0,49,50,50,0,0,0,0,0,1,6,6,6,0,0,0,0,1,0,14,0,14,0,0,500,2827,160000,120845,160000
60.1,31,50,50,0,0,0,0,18,1,6,6,6,0,0,0,0,1,0,27,0,27,0,0,500,2854,160000,120845,160000
90.1,29,50,50,5,0,0,0,24,2,2,6,6,0,0,0,4,2,0,35,0,35,0,0,500,2881,160000,120845,160000
120.1,17,50,50,6,0,0,0,37,2,1,6,6,0,0,0,5,2,0,44,0,44,0,0,500,2902,160000,120845,160000
150.1,10,50,50,6,1,0,3,42,2,1,6,6,0,1,0,6,2,0,36,10,46,10,0,500,2924,160000,120845,160000
180.1,4,50,50,6,1,0,3,48,2,2,6,6,0,2,0,6,2,0,22,26,48,26,0,500,2950,160000,120845,160000
210.1,4,50,50,6,3,0,4,49,2,2,6,6,0,3,0,7,2,0,17,32,49,32,0,500,2976,160000,120845,160000
240.1,5,50,50,6,5,0,5,49,2,2,6,6,0,3,0,7,2,0,10,41,51,41,0,500,2999,160000,120845,160000
270.2,6,50,50,6,7,0,5,50,2,2,6,6,0,4,0,8,2,0,6,45,51,45,0,500,3031,160000,120845,160000
300.2,5,50,50,6,8,0,5,52,2,1,6,6,0,4,0,9,2,0,3,48,51,48,0,500,3055,160000,120845,160000
330.2,5,50,50,6,10,0,6,53,2,1,6,6,0,5,0,10,2,0,4,49,53,49,0,500,3082,160000,120845,160000
360.3,6,50,50,6,11,0,6,53,2,2,6,6,0,6,0,10,2,0,6,50,56,50,0,500,3114,160000,120845,160000
390.3,7,50,50,6,13,0,6,54,2,2,6,6,0,7,0,11,2,0,8,51,59,51,0,500,3135,160000,120845,160000
420.4,6,50,50,6,15,0,6,57,2,2,6,6,0,7,0,11,2,0,11,51,62,51,0,500,3160,160000,120845,160000
450.4,6,50,50,6,17,0,7,58,2,0,6,6,0,7,0,13,2,0,11,53,64,53,0,500,3190,160000,120845,160000
480.5,7,50,50,6,19,0,8,58,2,2,6,6,0,9,0,13,2,0,12,55,67,55,0,500,3209,160000,120845,160000
510.5,7,50,50,7,19,0,8,59,2,2,6,6,0,9,0,13,2,0,10,59,69,59,0,500,3238,160000,120845,160000
540.5,8,50,50,7,21,0,8,60,2,1,6,6,0,9,0,14,2,0,7,62,69,62,0,500,3271,160000,120845,160000
570.6,6,50,50,7,22,0,9,62,2,1,6,6,0,10,0,15,2,0,7,63,70,63,0,500,3288,160000,120845,160000
600.6,4,50,50,7,22,0,9,64,2,2,6,6,0,11,0,15,2,0,5,66,71,66,0,500,3307,160000,120845,160000
630.7,4,50,50,7,24,0,10,65,2,2,6,6,0,12,0,16,2,0,4,68,72,68,0,500,3343,160000,120845,160000
660.7,3,50,50,7,25,0,10,67,2,2,6,6,0,12,0,16,2,0,5,69,74,69,0,500,3371,160000,120845,160000
690.8,4,50,50,7,26,0,10,67,2,2,6,6,0,13,0,17,2,0,6,69,75,69,0,500,3390,160000,120845,160000
720.8,4,50,50,7,27,0,10,68,2,1,6,6,0,13,0,18,2,0,5,71,76,71,0,500,3412,160000,120845,160000
750.8,3,50,50,7,29,0,10,71,2,2,6,6,0,14,0,18,2,0,5,72,77,72,0,500,3441,160000,120845,160000
780.9,2,50,50,7,29,0,10,72,2,2,6,6,0,15,0,19,2,0,5,73,78,73,0,500,3460,160000,120845,160000
810.9,3,50,50,7,31,0,10,73,2,2,6,6,0,15,0,19,2,0,4,75,79,75,0,500,3485,160000,120845,160000
841.0,4,50,50,7,33,0,11,73,2,2,6,6,0,16,0,20,2,0,4,76,80,76,0,500,3503,160000,120845,160000
871.0,6,50,50,7,35,0,11,73,2,2,6,6,0,17,0,21,2,0,4,77,81,77,0,500,3527,160000,120845,160000
901.1,3,50,50,7,36,0,11,77,2,2,6,6,0,17,0,21,2,0,3,78,81,78,0,500,3556,160000,120845,160000
931.1,3,50,50,7,37,0,11,78,2,2,6,6,0,18,0,22,2,0,2,79,81,79,0,500,3573,160000,120845,160000
961.1,3,50,50,7,39,0,12,79,2,2,6,6,0,19,0,23,2,0,2,80,82,80,0,500,3601,160000,120845,160000
991.2,4,50,50,7,41,0,12,80,2,2,6,6,0,19,0,23,2,0,3,80,83,80,0,500,3625,160000,120845,160000
1021.2,2,50,50,7,42,0,12,83,2,2,6,6,0,19,0,23,2,0,3,81,84,81,0,500,3660,160000,120845,160000
1051.3,4,50,50,7,44,0,12,83,2,1,6,6,0,20,0,25,2,0,5,81,86,81,0,500,3687,160000,120845,160000
1081.3,3,50,50,7,44,0,12,84,2,2,6,6,0,21,0,25,2,0,5,82,87,82,0,500,3710,160000,120845,160000
1111.3,4,50,50,7,46,0,13,84,2,1,6,6,0,21,0,26,2,0,5,83,88,83,0,500,3733,160000,120845,160000
1141.3,4,50,50,7,48,0,13,86,2,1,6,6,0,22,0,27,2,0,4,84,88,84,0,500,3758,160000,120845,160000
1171.4,4,50,50,7,50,0,13,88,2,2,6,6,0,23,0,27,2,0,2,86,88,86,0,500,3784,160000,120845,160000
1200.0,4,50,50,7,50,0,13,88,2,2,6,6,0,23,0,27,2,0,3,87,90,87,0,500,3812,160000,120845,160000
