t_sec,ff_count,ff_peak,ff_born_init,ff_born_breed,ff_born_replenish,ff_born_moss,ff_died_age,ff_died_hunger,ff_died_predator,worm_count,worm_peak,worm_born_init,worm_born_breed,worm_born_replenish,worm_died_age,worm_died_hunger,worm_killed_ff,worm_cells_dug,crystal_growing,crystal_mature,crystal_seeded,crystal_matured,crystal_destroyed,mushroom_count,moss_active,moss_total,rock_count,rock_total
30.0,49,50,50,0,0,0,0,0,1,6,6,6,0,0,0,0,1,0,27,0,27,0,0,500,4277,160000,118994,160000
60.1,52,52,50,4,0,0,0,0,2,6,6,6,0,0,0,0,2,0,48,0,48,0,0,500,4304,160000,118994,160000
90.1,49,55,50,8,0,0,0,6,3,6,6,6,0,0,0,0,3,0,69,0,69,0,0,500,4332,160000,118994,160000
120.1,44,55,50,13,0,0,0,16,3,0,6,6,0,0,0,6,3,0,89,0,89,0,0,500,4354,160000,118994,160000
150.1,39,55,50,17,0,0,4,21,3,1,6,6,0,1,0,6,3,0,79,19,98,19,0,500,4384,160000,118994,160000
180.1,28,55,50,20,0,0,13,25,4,2,6,6,0,2,0,6,4,0,56,44,100,44,0,500,4417,160000,118994,160000
210.1,22,55,50,25,0,0,19,30,4,1,6,6,0,2,0,7,4,0,34,66,100,66,0,500,4443,160000,118994,160000
240.1,16,55,50,25,0,0,24,31,4,2,6,6,0,3,0,7,4,0,13,87,100,87,0,500,4472,160000,118994,160000
270.2,4,55,50,25,1,0,27,41,4,1,6,6,0,3,0,8,4,0,3,97,100,97,0,500,4502,160000,118994,160000
300.2,6,55,50,25,3,0,27,41,4,1,6,6,0,4,0,9,4,0,0,100,100,100,0,500,4539,160000,118994,160000
330.2,6,55,50,25,5,0,29,41,4,2,6,6,0,5,0,9,4,0,0,100,100,100,0,500,4558,160000,118994,160000
360.3,8,55,50,25,7,0,29,41,4,2,6,6,0,5,0,9,4,0,0,100,100,100,0,500,4594,160000,118994,160000
390.3,9,55,50,25,9,0,30,41,4,1,6,6,0,6,0,11,4,0,0,100,100,100,0,500,4625,160000,118994,160000
420.4,9,55,50,25,11,0,32,41,4,2,6,6,0,7,0,11,4,0,0,100,100,100,0,500,4650,160000,118994,160000
450.4,8,55,50,25,12,0,32,43,4,2,6,6,0,7,0,11,4,0,0,100,100,100,0,500,4674,160000,118994,160000
480.5,8,55,50,25,14,0,32,45,4,2,6,6,0,8,0,12,4,0,0,100,100,100,0,500,4707,160000,118994,160000
510.5,8,55,50,25,16,0,34,45,4,2,6,6,0,9,0,13,4,0,0,100,100,100,0,500,4736,160000,118994,160000
540.5,8,55,50,25,18,0,35,46,4,2,6,6,0,9,0,13,4,0,0,100,100,100,0,500,4766,160000,118994,160000
570.6,10,55,50,25,20,0,35,46,4,2,6,6,0,10,0,14,4,0,0,100,100,100,0,500,4790,160000,118994,160000
600.6,10,55,50,25,22,0,36,47,4,2,6,6,0,10,0,14,4,0,0,100,100,100,0,500,4823,160000,118994,160000
630.7,9,55,50,25,24,0,38,48,4,2,6,6,0,11,0,15,4,0,0,100,100,100,0,500,4855,160000,118994,160000
660.7,10,55,50,25,25,0,38,48,4,2,6,6,0,12,0,16,4,0,0,100,100,100,0,500,4882,160000,118994,160000
690.8,11,55,50,25,27,0,38,49,4,1,6,6,0,12,0,17,4,0,0,100,100,100,0,500,4916,160000,118994,160000
720.8,7,55,50,25,28,0,41,51,4,2,6,6,0,13,0,17,4,0,0,100,100,100,0,500,4944,160000,118994,160000
750.8,8,55,50,25,30,0,42,51,4,1,6,6,0,13,0,18,4,0,0,100,100,100,0,500,4976,160000,118994,160000
780.9,9,55,50,25,32,0,42,52,4,2,6,6,0,14,0,18,4,0,0,100,100,100,0,500,5002,160000,118994,160000
810.9,8,55,50,25,33,0,43,53,4,2,6,6,0,15,0,19,4,0,0,100,100,100,0,500,5028,160000,118994,160000
841.0,9,55,50,25,35,0,44,53,4,1,6,6,0,15,0,20,4,0,0,100,100,100,0,500,5054,160000,118994,160000
871.0,7,55,50,25,35,0,45,54,4,2,6,6,0,16,0,20,4,0,0,100,100,100,0,500,5088,160000,118994,160000
901.1,5,55,50,25,36,0,46,56,4,1,6,6,0,16,0,21,4,0,0,100,100,100,0,500,5115,160000,118994,160000
931.1,6,55,50,25,38,0,47,56,4,2,6,6,0,18,0,22,4,0,0,100,100,100,0,500,5145,160000,118994,160000
961.1,5,55,50,25,39,0,49,56,4,2,6,6,0,18,0,22,4,0,0,100,100,100,0,500,5178,160000,118994,160000
991.2,6,55,50,25,41,0,49,57,4,1,6,6,0,18,0,23,4,0,0,100,100,100,0,500,5204,160000,118994,160000
1021.2,8,55,50,25,43,0,49,57,4,2,6,6,0,19,0,23,4,0,0,100,100,100,0,500,5232,160000,118994,160000
1051.3,8,55,50,25,45,0,50,58,4,2,6,6,0,20,0,24,4,0,0,100,100,100,0,500,5270,160000,118994,160000
1081.3,10,55,50,25,47,0,50,58,4,2,6,6,0,20,0,24,4,0,0,100,100,100,0,500,5308,160000,118994,160000
1111.3,8,55,50,25,49,0,52,60,4,1,6,6,0,21,0,26,4,0,0,100,100,100,0,500,5332,160000,118994,160000
1141.3,8,55,50,25,50,0,52,61,4,2,6,6,0,22,0,26,4,0,0,100,100,100,0,500,5358,160000,118994,160000
1171.4,8,55,50,25,52,0,53,62,4,2,6,6,0,22,0,26,4,0,0,100,100,100,0,500,5383,160000,118994,160000
1200.0,8,55,50,25,54,0,54,63,4,1,6,6,0,22,0,27,4,0,0,100,100,100,0,500,5420,160000,118994,160000
