t_sec,ff_count,ff_peak,ff_born_init,ff_born_breed,ff_born_replenish,ff_born_moss,ff_died_age,ff_died_hunger,ff_died_predator,worm_count,worm_peak,worm_born_init,worm_born_breed,worm_born_replenish,worm_died_age,worm_died_hunger,worm_killed_ff,worm_cells_dug,crystal_growing,crystal_mature,crystal_seeded,crystal_matured,crystal_destroyed,mushroom_count,moss_active,moss_total,rock_count,rock_total
30.0,50,50,50,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,18,0,18,0,0,500,2837,160000,123290,160000
60.1,44,50,50,0,0,0,0,6,0,6,6,6,0,0,0,0,0,0,34,0,34,0,0,500,2860,160000,123290,160000
90.1,38,50,50,4,0,0,0,16,0,4,6,6,0,0,0,2,0,0,44,0,44,0,0,500,2884,160000,123290,160000
120.1,29,50,50,5,0,0,0,26,0,1,6,6,0,1,0,6,0,0,51,0,51,0,0,500,2906,160000,123290,160000
150.1,28,50,50,9,0,0,0,31,0,2,6,6,0,2,0,6,0,0,51,14,65,14,0,500,2929,160000,123290,160000
180.1,19,50,50,10,0,0,2,39,0,2,6,6,0,2,0,6,0,0,39,28,67,28,0,500,2952,160000,123290,160000
210.1,10,50,50,10,0,0,4,46,0,1,6,6,0,3,0,8,0,0,26,44,70,44,0,500,2978,160000,123290,160000
240.1,7,50,50,10,0,0,4,49,0,2,6,6,0,4,0,8,0,0,21,50,71,50,0,500,2996,160000,123290,160000
270.2,5,50,50,10,2,0,4,53,0,2,6,6,0,4,0,8,0,0,10,63,73,63,0,500,3022,160000,123290,160000
300.2,3,50,50,10,3,0,6,54,0,1,6,6,0,4,0,9,0,0,7,67,74,67,0,500,3041,160000,123290,160000
330.2,4,50,50,10,4,0,6,54,0,2,6,6,0,6,0,10,0,0,6,69,75,69,0,500,3062,160000,123290,160000
360.3,5,50,50,10,5,0,6,54,0,2,6,6,0,6,0,10,0,0,4,71,75,71,0,500,3085,160000,123290,160000
390.3,6,50,50,10,7,0,6,55,0,1,6,6,0,6,0,11,0,0,3,72,75,72,0,500,3100,160000,123290,160000
420.4,5,50,50,10,8,0,6,57,0,1,6,6,0,7,0,12,0,0,2,74,76,74,0,500,3120,160000,123290,160000
450.4,4,50,50,10,8,0,6,58,0,2,6,6,0,8,0,12,0,0,2,75,77,75,0,500,3146,160000,123290,160000
480.5,4,50,50,10,9,0,6,59,0,2,6,6,0,9,0,13,0,0,3,75,78,75,0,500,3167,160000,123290,160000
510.5,6,50,50,10,11,0,6,59,0,1,6,6,0,9,0,14,0,0,5,75,80,75,0,500,3189,160000,123290,160000
540.5,6,50,50,10,12,0,6,60,0,2,6,6,0,10,0,14,0,0,6,76,82,76,0,500,3212,160000,123290,160000
570.6,7,50,50,10,14,0,6,61,0,1,6,6,0,10,0,15,0,0,6,77,83,77,0,500,3242,160000,123290,160000
600.6,7,50,50,10,16,0,7,62,0,2,6,6,0,11,0,15,0,0,6,78,84,78,0,500,3267,160000,123290,160000
630.7,6,50,50,10,17,0,7,64,0,2,6,6,0,12,0,16,0,0,4,80,84,80,0,500,3293,160000,123290,160000
660.7,8,50,50,10,19,0,7,64,0,2,6,6,0,13,0,17,0,0,4,82,86,82,0,500,3308,160000,123290,160000
690.8,5,50,50,10,19,0,8,66,0,2,6,6,0,13,0,17,0,0,4,83,87,83,0,500,3334,160000,123290,160000
720.8,2,50,50,10,20,0,8,70,0,1,6,6,0,13,0,18,0,0,3,84,87,84,0,500,3360,160000,123290,160000
750.8,4,50,50,10,22,0,8,70,0,1,6,6,0,14,0,19,0,0,4,84,88,84,0,500,3379,160000,123290,160000
780.9,4,50,50,10,23,0,9,70,0,2,6,6,0,15,0,19,0,0,2,86,88,86,0,500,3398,160000,123290,160000
810.9,3,50,50,10,25,0,9,73,0,1,6,6,0,15,0,20,0,0,1,87,88,87,0,500,3422,160000,123290,160000
841.0,3,50,50,10,26,0,9,74,0,2,6,6,0,16,0,20,0,0,1,87,88,87,0,500,3439,160000,123290,160000
871.0,3,50,50,10,27,0,9,75,0,2,6,6,0,17,0,21,0,0,1,88,89,88,0,500,3456,160000,123290,160000
901.1,4,50,50,10,28,0,9,75,0,2,6,6,0,17,0,21,0,0,1,88,89,88,0,500,3484,160000,123290,160000
931.1,4,50,50,10,29,0,9,76,0,2,6,6,0,18,0,22,0,0,2,88,90,88,0,500,3507,160000,123290,160000
961.1,3,50,50,10,29,0,9,77,0,2,6,6,0,19,0,23,0,0,2,88,90,88,0,500,3529,160000,123290,160000
991.2,1,50,50,10,29,0,9,79,0,2,6,6,0,19,0,23,0,0,2,88,90,88,0,500,3547,160000,123290,160000
1021.2,2,50,50,10,30,0,9,79,0,2,6,6,0,20,0,24,0,0,2,89,91,89,0,500,3583,160000,123290,160000
1051.3,2,50,50,10,30,0,9,79,0,1,6,6,0,20,0,25,0,0,1,90,91,90,0,500,3598,160000,123290,160000
1081.3,3,50,50,10,31,0,9,79,0,1,6,6,0,21,0,26,0,0,1,90,91,90,0,500,3611,160000,123290,160000
1111.3,2,50,50,10,33,0,10,81,0,2,6,6,0,22,0,26,0,0,1,90,91,90,0,500,3641,160000,123290,160000
1141.3,2,50,50,10,34,0,10,82,0,1,6,6,0,22,0,27,0,0,0,91,91,91,0,500,3662,160000,123290,160000
1171.4,3,50,50,10,36,0,10,83,0,2,6,6,0,23,0,27,0,0,0,91,91,91,0,500,3690,160000,123290,160000
1200.0,5,50,50,10,38,0,10,83,0,2,6,6,0,24,0,28,0,0,0,91,91,91,0,500,3710,160000,123290,160000
