t_sec,ff_count,ff_peak,ff_born_init,ff_born_breed,ff_born_replenish,ff_born_moss,ff_died_age,ff_died_hunger,ff_died_predator,worm_count,worm_peak,worm_born_init,worm_born_breed,worm_born_replenish,worm_died_age,worm_died_hunger,worm_killed_ff,worm_cells_dug,crystal_growing,crystal_mature,crystal_seeded,crystal_matured,crystal_destroyed,mushroom_count,moss_active,moss_total,rock_count,rock_total
30.0,48,50,50,0,0,0,0,0,2,6,6,6,0,0,0,0,2,0,29,0,29,0,0,500,4652,160000,112764,160000
60.1,36,50,50,2,0,0,0,12,4,6,6,6,0,0,0,0,4,0,61,0,61,0,0,500,4676,160000,112764,160000
90.1,45,50,50,12,0,0,0,13,4,3,6,6,0,0,0,3,4,0,91,0,91,0,0,500,4711,160000,112764,160000
120.1,49,50,50,21,0,0,0,15,7,2,6,6,0,0,0,4,7,0,100,0,100,0,0,500,4731,160000,112764,160000
150.1,49,53,50,26,0,0,2,17,8,2,6,6,0,0,0,4,8,0,76,24,100,24,0,500,4750,160000,112764,160000
180.1,38,53,50,31,0,0,11,24,8,2,6,6,0,0,0,4,8,0,49,51,100,51,0,500,4774,160000,112764,160000
210.1,35,53,50,39,0,0,19,27,8,1,6,6,0,1,2,4,8,0,17,83,100,83,0,500,4802,160000,112764,160000
240.1,24,53,50,42,0,0,29,31,8,2,6,6,0,2,2,4,8,0,0,100,100,100,0,500,4821,160000,112764,160000
270.2,13,53,50,42,0,0,31,39,9,2,6,6,0,2,2,4,9,0,0,100,100,100,0,500,4845,160000,112764,160000
300.2,5,53,50,42,2,0,34,46,9,1,6,6,0,2,2,5,9,0,0,100,100,100,0,500,4874,160000,112764,160000
330.2,6,53,50,42,4,0,34,46,10,2,6,6,0,3,2,5,10,0,0,100,100,100,0,500,4902,160000,112764,160000
360.3,5,53,50,42,6,0,36,47,10,2,6,6,0,3,2,5,10,0,0,100,100,100,0,500,4926,160000,112764,160000
390.3,5,53,50,42,8,0,37,48,10,2,6,6,0,4,2,6,10,0,0,100,100,100,0,500,4950,160000,112764,160000
420.4,5,53,50,42,10,0,37,50,10,1,6,6,0,4,2,7,10,0,0,100,100,100,0,500,4983,160000,112764,160000
450.4,6,53,50,42,12,0,37,51,10,2,6,6,0,5,2,7,10,0,0,100,100,100,0,500,5013,160000,112764,160000
480.5,8,53,50,42,14,0,37,51,10,2,6,6,0,6,2,8,10,0,0,100,100,100,0,500,5038,160000,112764,160000
510.5,8,53,50,42,16,0,39,51,10,2,6,6,0,6,2,8,10,0,0,100,100,100,0,500,5064,160000,112764,160000
540.5,7,53,50,42,18,0,40,53,10,2,6,6,0,7,2,9,10,0,0,100,100,100,0,500,5091,160000,112764,160000
570.6,8,53,50,42,20,0,40,54,10,1,6,6,0,7,2,10,10,0,0,100,100,100,0,500,5119,160000,112764,160000
600.6,10,53,50,42,22,0,40,54,10,2,6,6,0,8,2,10,10,0,0,100,100,100,0,500,5141,160000,112764,160000
630.7,9,53,50,42,24,0,42,55,10,2,6,6,0,9,2,11,10,0,0,100,100,100,0,500,5167,160000,112764,160000
660.7,8,53,50,42,25,0,43,56,10,2,6,6,0,10,2,12,10,0,0,100,100,100,0,500,5197,160000,112764,160000
690.8,8,53,50,42,27,0,44,57,10,2,6,6,0,10,2,12,10,0,0,100,100,100,0,500,5234,160000,112764,160000
720.8,7,53,50,42,29,0,45,59,10,1,6,6,0,10,2,13,10,0,0,100,100,100,0,500,5265,160000,112764,160000
750.8,8,53,50,42,31,0,46,59,10,1,6,6,0,11,2,14,10,0,0,100,100,100,0,500,5292,160000,112764,160000
780.9,9,53,50,42,33,0,47,59,10,2,6,6,0,12,2,14,10,0,0,100,100,100,0,500,5327,160000,112764,160000
810.9,11,53,50,42,35,0,47,59,10,2,6,6,0,12,2,14,10,0,0,100,100,100,0,500,5356,160000,112764,160000
841.0,11,53,50,42,37,0,49,59,10,1,6,6,0,13,2,16,10,0,0,100,100,100,0,500,5379,160000,112764,160000
871.0,10,53,50,42,39,0,50,61,10,2,6,6,0,14,2,16,10,0,0,100,100,100,0,500,5419,160000,112764,160000
901.1,10,53,50,42,41,0,52,61,10,2,6,6,0,14,2,16,10,0,0,100,100,100,0,500,5456,160000,112764,160000
931.1,10,53,50,42,43,0,52,63,10,2,6,6,0,15,2,17,10,0,0,100,100,100,0,500,5492,160000,112764,160000
961.1,8,53,50,43,45,0,56,64,10,2,6,6,0,16,2,18,10,0,0,100,100,100,0,500,5520,160000,112764,160000
991.2,8,53,50,44,47,0,57,66,10,2,6,6,0,16,2,18,10,0,0,100,100,100,0,500,5537,160000,112764,160000
1021.2,8,53,50,44,49,0,57,68,10,0,6,6,0,16,2,20,10,0,0,100,100,100,0,500,5570,160000,112764,160000
1051.3,7,53,50,44,51,0,58,70,10,1,6,6,0,17,2,20,10,0,0,100,100,100,0,500,5589,160000,112764,160000
1081.3,8,53,50,44,53,0,59,70,10,2,6,6,0,18,2,20,10,0,0,100,100,100,0,500,5618,160000,112764,160000
1111.3,8,53,50,44,54,0,60,70,10,1,6,6,0,18,2,21,10,0,0,100,100,100,0,500,5642,160000,112764,160000
1141.3,8,53,50,44,56,0,61,71,10,2,6,6,0,19,2,21,10,0,0,100,100,100,0,500,5673,160000,112764,160000
1171.4,10,53,50,44,58,0,61,71,10,2,6,6,0,20,2,22,10,0,0,100,100,100,0,500,5704,160000,112764,160000
1200.0,11,53,50,44,60,0,61,72,10,2,6,6,0,20,2,22,10,0,0,100,100,100,0,500,5731,160000,112764,160000
