t_sec,ff_count,ff_peak,ff_born_init,ff_born_breed,ff_born_replenish,ff_born_moss,ff_died_age,ff_died_hunger,ff_died_predator,worm_count,worm_peak,worm_born_init,worm_born_breed,worm_born_replenish,worm_died_age,worm_died_hunger,worm_killed_ff,worm_cells_dug,crystal_growing,crystal_mature,crystal_seeded,crystal_matured,crystal_destroyed,mushroom_count,moss_active,moss_total,rock_count,rock_total
30.0,50,50,50,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,28,0,28,0,0,500,4985,160000,114138,160000
60.1,53,63,50,15,0,0,0,12,0,6,6,6,0,0,0,0,0,0,62,0,62,0,0,500,5014,160000,114138,160000
90.1,65,65,50,32,0,0,1,16,0,2,6,6,0,0,0,4,0,0,100,0,100,0,0,500,5053,160000,114138,160000
120.1,60,71,50,49,0,0,13,25,1,1,6,6,0,1,0,6,1,0,100,0,100,0,0,500,5077,160000,114138,160000
150.1,38,71,50,58,0,0,27,42,1,2,6,6,0,2,0,6,1,0,79,21,100,21,0,500,5103,160000,114138,160000
180.1,42,71,50,71,0,0,30,47,2,2,6,6,0,2,0,6,2,0,49,51,100,51,0,500,5130,160000,114138,160000
210.1,37,71,50,79,0,0,39,51,2,2,6,6,0,3,0,7,2,0,3,97,100,97,0,500,5158,160000,114138,160000
240.1,26,71,50,82,0,0,50,54,2,2,6,6,0,3,0,7,2,0,0,100,100,100,0,500,5181,160000,114138,160000
270.2,15,71,50,84,0,0,54,63,2,2,6,6,0,4,1,7,2,0,0,100,100,100,0,500,5207,160000,114138,160000
300.2,12,71,50,85,0,0,57,64,2,1,6,6,0,4,1,8,2,0,0,100,100,100,0,500,5232,160000,114138,160000
330.2,3,71,50,85,2,0,63,69,2,2,6,6,0,5,1,8,2,0,0,100,100,100,0,500,5262,160000,114138,160000
360.3,4,71,50,85,4,0,63,70,2,2,6,6,0,6,1,9,2,0,0,100,100,100,0,500,5289,160000,114138,160000
390.3,6,71,50,85,6,0,63,70,2,1,6,6,0,6,1,10,2,0,0,100,100,100,0,500,5324,160000,114138,160000
420.4,8,71,50,85,8,0,63,70,2,2,6,6,0,7,1,10,2,0,0,100,100,100,0,500,5356,160000,114138,160000
450.4,7,71,50,85,10,0,66,70,2,1,6,6,0,7,1,11,2,0,0,100,100,100,0,500,5387,160000,114138,160000
480.5,5,71,50,85,12,0,69,71,2,2,6,6,0,8,1,11,2,0,0,100,100,100,0,500,5416,160000,114138,160000
510.5,7,71,50,85,14,0,69,71,2,2,6,6,0,9,1,12,2,0,0,100,100,100,0,500,5444,160000,114138,160000
540.5,7,71,50,85,16,0,70,72,2,2,6,6,0,10,1,13,2,0,0,100,100,100,0,500,5469,160000,114138,160000
570.6,7,71,50,85,18,0,72,72,2,2,6,6,0,10,1,13,2,0,0,100,100,100,0,500,5495,160000,114138,160000
600.6,7,71,50,85,20,0,72,73,3,1,6,6,0,10,1,14,3,0,0,100,100,100,0,500,5534,160000,114138,160000
630.7,4,71,50,85,22,0,76,74,3,2,6,6,0,12,1,15,3,0,0,100,100,100,0,500,5567,160000,114138,160000
660.7,4,71,50,85,23,0,77,74,3,2,6,6,0,12,1,15,3,0,0,100,100,100,0,500,5593,160000,114138,160000
690.8,6,71,50,85,25,0,77,74,3,2,6,6,0,12,1,15,3,0,0,100,100,100,0,500,5617,160000,114138,160000
720.8,4,71,50,85,26,0,78,76,3,1,6,6,0,13,1,17,3,0,0,100,100,100,0,500,5645,160000,114138,160000
750.8,4,71,50,85,28,0,80,76,3,2,6,6,0,14,1,17,3,0,0,100,100,100,0,500,5681,160000,114138,160000
780.9,5,71,50,85,30,0,81,76,3,2,6,6,0,14,1,17,3,0,0,100,100,100,0,500,5711,160000,114138,160000
810.9,5,71,50,85,32,0,82,77,3,1,6,6,0,15,1,19,3,0,0,100,100,100,0,500,5744,160000,114138,160000
841.0,5,71,50,85,34,0,84,77,3,2,6,6,0,16,1,19,3,0,0,100,100,100,0,500,5765,160000,114138,160000
871.0,7,71,50,85,36,0,84,77,3,2,6,6,0,16,1,19,3,0,0,100,100,100,0,500,5807,160000,114138,160000
901.1,9,71,50,85,38,0,84,77,3,2,6,6,0,16,1,19,3,0,0,100,100,100,0,500,5837,160000,114138,160000
931.1,7,71,50,85,40,0,88,77,3,2,6,6,0,18,1,21,3,0,0,100,100,100,0,500,5868,160000,114138,160000
961.1,5,71,50,85,42,0,91,78,3,2,6,6,0,18,1,21,3,0,0,100,100,100,0,500,5903,160000,114138,160000
991.2,4,71,50,85,43,0,92,79,3,2,6,6,0,18,1,21,3,0,0,100,100,100,0,500,5932,160000,114138,160000
1021.2,4,71,50,85,44,0,92,80,3,1,6,6,0,19,1,23,3,0,0,100,100,100,0,500,5956,160000,114138,160000
1051.3,5,71,50,85,46,0,93,80,3,2,6,6,0,20,1,23,3,0,0,100,100,100,0,500,5985,160000,114138,160000
1081.3,5,71,50,85,48,0,95,80,3,1,6,6,0,20,1,24,3,0,0,100,100,100,0,500,6013,160000,114138,160000
1111.3,4,71,50,85,49,0,96,81,3,2,6,6,0,21,1,24,3,0,0,100,100,100,0,500,6038,160000,114138,160000
1141.3,4,71,50,85,51,0,97,82,3,2,6,6,0,22,1,25,3,0,0,100,100,100,0,500,6061,160000,114138,160000
1171.4,5,71,50,85,53,0,97,83,3,2,6,6,0,22,1,25,3,0,0,100,100,100,0,500,6085,160000,114138,160000
1200.0,6,71,50,85,55,0,98,83,3,0,6,6,0,22,1,27,3,0,0,100,100,100,0,500,6112,160000,114138,160000
