t_sec,ff_count,ff_peak,ff_born_init,ff_born_breed,ff_born_replenish,ff_born_moss,ff_died_age,ff_died_hunger,ff_died_predator,worm_count,worm_peak,worm_born_init,worm_born_breed,worm_born_replenish,worm_died_age,worm_died_hunger,worm_killed_ff,worm_cells_dug,crystal_growing,crystal_mature,crystal_seeded,crystal_matured,crystal_destroyed,mushroom_count,moss_active,moss_total,rock_count,rock_total
30.0,50,50,50,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,22,0,22,0,0,500,2707,160000,137363,160000
60.1,40,50,50,1,0,0,0,10,1,6,6,6,0,0,0,0,1,0,45,0,45,0,0,500,2725,160000,137363,160000
90.1,36,50,50,1,0,0,0,13,2,5,6,6,0,0,0,1,2,0,71,0,71,0,0,500,2741,160000,137363,160000
120.1,44,50,50,11,0,0,0,15,2,2,6,6,0,0,0,4,2,0,93,0,93,0,0,500,2763,160000,137363,160000
150.1,40,50,50,16,0,0,5,19,2,0,6,6,0,0,0,6,2,0,80,20,100,20,0,500,2776,160000,137363,160000
180.1,30,50,50,20,0,0,10,28,2,2,6,6,0,2,0,6,2,0,62,38,100,38,0,500,2789,160000,137363,160000
210.1,20,50,50,22,0,0,17,33,2,2,6,6,0,2,0,6,2,0,34,66,100,66,0,500,2810,160000,137363,160000
240.1,13,50,50,23,0,0,21,37,2,1,6,6,0,2,0,7,2,0,12,88,100,88,0,500,2828,160000,137363,160000
270.2,9,50,50,23,1,0,23,40,2,1,6,6,0,3,0,8,2,0,0,100,100,100,0,500,2845,160000,137363,160000
300.2,9,50,50,23,3,0,23,42,2,2,6,6,0,4,0,8,2,0,0,100,100,100,0,500,2858,160000,137363,160000
330.2,7,50,50,23,4,0,24,44,2,2,6,6,0,5,0,9,2,0,0,100,100,100,0,500,2880,160000,137363,160000
360.3,9,50,50,23,6,0,24,44,2,2,6,6,0,6,0,10,2,0,0,100,100,100,0,500,2899,160000,137363,160000
390.3,6,50,50,23,7,0,26,46,2,2,6,6,0,6,0,10,2,0,0,100,100,100,0,500,2926,160000,137363,160000
420.4,7,50,50,23,9,0,27,46,2,2,6,6,0,7,0,11,2,0,0,100,100,100,0,500,2943,160000,137363,160000
450.4,8,50,50,23,11,0,28,46,2,1,6,6,0,7,0,12,2,0,0,100,100,100,0,500,2961,160000,137363,160000
480.5,8,50,50,23,13,0,30,46,2,2,6,6,0,8,0,12,2,0,0,100,100,100,0,500,2974,160000,137363,160000
510.5,7,50,50,23,15,0,31,48,2,2,6,6,0,9,0,13,2,0,0,100,100,100,0,500,2995,160000,137363,160000
540.5,7,50,50,23,16,0,31,49,2,2,6,6,0,9,0,13,2,0,0,100,100,100,0,500,3014,160000,137363,160000
570.6,8,50,50,23,18,0,32,49,2,2,6,6,0,10,0,14,2,0,0,100,100,100,0,500,3031,160000,137363,160000
600.6,7,50,50,23,19,0,33,50,2,2,6,6,0,11,0,15,2,0,0,100,100,100,0,500,3058,160000,137363,160000
630.7,6,50,50,23,20,0,34,51,2,2,6,6,0,11,0,15,2,0,0,100,100,100,0,500,3085,160000,137363,160000
660.7,6,50,50,23,21,0,34,52,2,1,6,6,0,12,0,17,2,0,0,100,100,100,0,500,3104,160000,137363,160000
690.8,5,50,50,23,23,0,35,54,2,2,6,6,0,13,0,17,2,0,0,100,100,100,0,500,3121,160000,137363,160000
720.8,5,50,50,23,24,0,36,54,2,2,6,6,0,13,0,17,2,0,0,100,100,100,0,500,3146,160000,137363,160000
750.8,5,50,50,23,26,0,36,56,2,0,6,6,0,13,0,19,2,0,0,100,100,100,0,500,3166,160000,137363,160000
780.9,4,50,50,23,27,0,38,56,2,2,6,6,0,15,0,19,2,0,0,100,100,100,0,500,3178,160000,137363,160000
810.9,4,50,50,23,29,0,38,57,3,2,6,6,0,15,0,19,3,0,0,100,100,100,0,500,3204,160000,137363,160000
841.0,6,50,50,23,31,0,38,57,3,2,6,6,0,15,0,19,3,0,0,100,100,100,0,500,3221,160000,137363,160000
871.0,5,50,50,23,33,0,40,58,3,1,6,6,0,15,0,20,3,0,0,100,100,100,0,500,3243,160000,137363,160000
901.1,6,50,50,23,34,0,40,58,3,1,6,6,0,16,0,21,3,0,0,100,100,100,0,500,3262,160000,137363,160000
931.1,5,50,50,23,35,0,41,59,3,2,6,6,0,17,0,21,3,0,0,100,100,100,0,500,3284,160000,137363,160000
961.1,4,50,50,23,36,0,41,61,3,2,6,6,0,17,0,21,3,0,0,100,100,100,0,500,3302,160000,137363,160000
991.2,5,50,50,23,37,0,41,61,3,1,6,6,0,18,0,23,3,0,0,100,100,100,0,500,3331,160000,137363,160000
1021.2,6,50,50,23,39,0,42,61,3,2,6,6,0,19,0,23,3,0,0,100,100,100,0,500,3360,160000,137363,160000
1051.3,6,50,50,23,40,0,42,62,3,1,6,6,0,19,0,24,3,0,0,100,100,100,0,500,3384,160000,137363,160000
1081.3,6,50,50,23,42,0,42,64,3,2,6,6,0,20,0,24,3,0,0,100,100,100,0,500,3415,160000,137363,160000
1111.3,8,50,50,23,44,0,42,64,3,2,6,6,0,21,0,25,3,0,0,100,100,100,0,500,3444,160000,137363,160000
1141.3,6,50,50,23,46,0,43,67,3,1,6,6,0,21,0,26,3,0,0,100,100,100,0,500,3461,160000,137363,160000
1171.4,6,50,50,23,47,0,43,68,3,2,6,6,0,22,0,26,3,0,0,100,100,100,0,500,3479,160000,137363,160000
1200.0,7,50,50,23,49,0,43,69,3,2,6,6,0,22,0,26,3,0,0,100,100,100,0,500,3498,160000,137363,160000
