t_sec,ff_count,ff_peak,ff_born_init,ff_born_breed,ff_born_replenish,ff_born_moss,ff_died_age,ff_died_hunger,ff_died_predator,worm_count,worm_peak,worm_born_init,worm_born_breed,worm_born_replenish,worm_died_age,worm_died_hunger,worm_killed_ff,worm_cells_dug,crystal_growing,crystal_mature,crystal_seeded,crystal_matured,crystal_destroyed,mushroom_count,moss_active,moss_total,rock_count,rock_total
30.0,50,50,50,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,11,0,11,0,0,500,4790,160000,98234,160000
60.1,37,50,50,1,0,0,0,12,2,6,6,6,0,0,0,0,2,0,36,0,36,0,0,500,4820,160000,98234,160000
90.1,37,50,50,3,0,0,0,14,2,3,6,6,0,0,0,3,2,0,56,0,56,0,0,500,4848,160000,98234,160000
120.1,31,50,50,3,0,0,0,20,2,1,6,6,0,0,0,5,2,0,69,0,69,0,0,500,4885,160000,98234,160000
150.1,23,50,50,3,0,0,3,25,2,1,6,6,0,1,0,6,2,0,76,10,86,10,0,500,4918,160000,98234,160000
180.1,12,50,50,3,0,0,11,28,2,2,6,6,0,2,0,6,2,0,70,27,97,27,0,500,4945,160000,98234,160000
210.1,7,50,50,3,1,0,17,28,2,2,6,6,0,3,0,7,2,0,45,55,100,55,0,500,4982,160000,98234,160000
240.1,3,50,50,3,3,0,23,28,2,2,6,6,0,4,0,8,2,0,32,68,100,68,0,500,5025,160000,98234,160000
270.2,5,50,50,3,5,0,23,28,2,2,6,6,0,4,0,8,2,0,19,81,100,81,0,500,5062,160000,98234,160000
300.2,6,50,50,3,7,0,23,29,2,0,6,6,0,4,0,10,2,0,3,97,100,97,0,500,5099,160000,98234,160000
330.2,8,50,50,3,9,0,23,29,2,2,6,6,0,6,0,10,2,0,2,98,100,98,0,500,5149,160000,98234,160000
360.3,10,50,50,3,11,0,23,29,2,2,6,6,0,6,0,10,2,0,0,100,100,100,0,500,5183,160000,98234,160000
390.3,11,50,50,3,13,0,24,29,2,1,6,6,0,6,0,11,2,0,0,100,100,100,0,500,5216,160000,98234,160000
420.4,10,50,50,3,15,0,24,32,2,1,6,6,0,7,0,12,2,0,0,100,100,100,0,500,5245,160000,98234,160000
450.4,8,50,50,3,17,0,27,33,2,2,6,6,0,8,0,12,2,0,0,100,100,100,0,500,5285,160000,98234,160000
480.5,8,50,50,3,19,0,29,33,2,2,6,6,0,8,0,12,2,0,0,100,100,100,0,500,5305,160000,98234,160000
510.5,10,50,50,3,21,0,29,33,2,1,6,6,0,9,0,14,2,0,0,100,100,100,0,500,5353,160000,98234,160000
540.5,11,50,50,3,23,0,30,33,2,2,6,6,0,10,0,14,2,0,0,100,100,100,0,500,5382,160000,98234,160000
570.6,10,50,50,3,25,0,31,35,2,2,6,6,0,10,0,14,2,0,0,100,100,100,0,500,5409,160000,98234,160000
600.6,9,50,50,3,27,0,33,36,2,1,6,6,0,10,0,15,2,0,0,100,100,100,0,500,5453,160000,98234,160000
630.7,7,50,50,3,28,0,34,37,3,2,6,6,0,12,0,16,3,0,0,100,100,100,0,500,5477,160000,98234,160000
660.7,7,50,50,3,30,0,35,38,3,2,6,6,0,12,0,16,3,0,0,100,100,100,0,500,5500,160000,98234,160000
690.8,8,50,50,3,32,1,37,38,3,2,6,6,0,12,0,16,3,0,0,100,100,100,0,500,5538,160000,98234,160000
720.8,9,50,50,3,34,1,37,39,3,1,6,6,0,12,0,17,3,0,0,100,100,100,0,500,5564,160000,98234,160000
750.8,9,50,50,3,36,1,37,41,3,1,6,6,0,13,0,18,3,0,0,100,100,100,0,500,5593,160000,98234,160000
780.9,10,50,50,3,38,1,38,41,3,2,6,6,0,14,0,18,3,0,0,100,100,100,0,500,5644,160000,98234,160000
810.9,11,50,50,3,40,1,39,41,3,1,6,6,0,14,0,19,3,0,0,100,100,100,0,500,5673,160000,98234,160000
841.0,10,50,50,3,42,1,41,42,3,1,6,6,0,15,0,20,3,0,0,100,100,100,0,500,5705,160000,98234,160000
871.0,11,50,50,3,44,1,42,42,3,2,6,6,0,16,0,20,3,0,0,100,100,100,0,500,5743,160000,98234,160000
901.1,12,50,50,3,46,1,42,43,3,2,6,6,0,16,0,20,3,0,0,100,100,100,0,500,5762,160000,98234,160000
931.1,7,50,50,3,47,1,45,46,3,2,6,6,0,17,0,21,3,0,0,100,100,100,0,500,5791,160000,98234,160000
961.1,7,50,50,3,49,1,46,47,3,2,6,6,0,18,0,22,3,0,0,100,100,100,0,500,5822,160000,98234,160000
991.2,6,50,50,3,51,1,47,48,4,2,6,6,0,18,0,22,4,0,0,100,100,100,0,500,5851,160000,98234,160000
1021.2,8,50,50,3,53,1,47,48,4,1,6,6,0,18,0,23,4,0,0,100,100,100,0,500,5882,160000,98234,160000
1051.3,8,50,50,3,55,1,49,48,4,2,6,6,0,19,0,23,4,0,0,100,100,100,0,500,5916,160000,98234,160000
1081.3,9,50,50,3,57,1,49,49,4,2,6,6,0,20,0,24,4,0,0,100,100,100,0,500,5955,160000,98234,160000
1111.3,9,50,50,3,58,1,49,50,4,2,6,6,0,20,0,24,4,0,0,100,100,100,0,500,5989,160000,98234,160000
1141.3,9,50,50,3,60,1,51,50,4,2,6,6,0,21,0,25,4,0,0,100,100,100,0,500,6023,160000,98234,160000
1171.4,7,50,50,3,62,1,54,51,4,1,6,6,0,21,0,26,4,0,0,100,100,100,0,500,6062,160000,98234,160000
1200.0,9,50,50,3,64,1,54,51,4,2,6,6,0,22,0,26,4,0,0,100,100,100,0,500,6100,160000,98234,160000
