t_sec,ff_count,ff_peak,ff_born_init,ff_born_breed,ff_born_replenish,ff_born_moss,ff_died_age,ff_died_hunger,ff_died_predator,worm_count,worm_peak,worm_born_init,worm_born_breed,worm_born_replenish,worm_died_age,worm_died_hunger,worm_killed_ff,worm_cells_dug,crystal_growing,crystal_mature,crystal_seeded,crystal_matured,crystal_destroyed,mushroom_count,moss_active,moss_total,rock_count,rock_total
30.0,50,50,50,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,13,0,13,0,0,500,2101,160000,133794,160000
60.1,42,51,50,1,0,0,0,9,0,6,6,6,0,0,0,0,0,0,16,0,16,0,0,500,2119,160000,133794,160000
90.1,38,51,50,2,0,0,0,14,0,1,6,6,0,0,0,5,0,0,23,0,23,0,0,500,2133,160000,133794,160000
120.1,28,51,50,3,0,0,0,25,0,1,6,6,0,1,0,6,0,0,27,0,27,0,0,500,2144,160000,133794,160000
150.1,12,51,50,3,0,0,2,39,0,2,6,6,0,2,0,6,0,0,18,11,29,11,0,500,2160,160000,133794,160000
180.1,4,51,50,3,1,0,5,45,0,2,6,6,0,2,0,6,0,0,13,16,29,16,0,500,2176,160000,133794,160000
210.1,1,51,50,3,2,0,7,47,0,1,6,6,0,3,0,8,0,0,9,20,29,20,0,500,2192,160000,133794,160000
240.1,3,51,50,3,4,0,7,47,0,2,6,6,0,4,0,8,0,0,2,27,29,27,0,500,2207,160000,133794,160000
270.2,3,51,50,3,6,0,7,49,0,2,6,6,0,4,0,8,0,0,1,29,30,29,0,500,2228,160000,133794,160000
300.2,4,51,50,3,7,0,7,49,0,2,6,6,0,5,0,9,0,0,1,29,30,29,0,500,2248,160000,133794,160000
330.2,4,51,50,3,8,0,7,50,0,2,6,6,0,6,0,10,0,0,2,29,31,29,0,500,2256,160000,133794,160000
360.3,2,51,50,3,9,0,7,53,0,2,6,6,0,7,0,11,0,0,2,29,31,29,0,500,2276,160000,133794,160000
390.3,2,51,50,3,10,0,7,54,0,2,6,6,0,7,0,11,0,0,1,30,31,30,0,500,2293,160000,133794,160000
420.4,3,51,50,3,11,0,7,54,0,1,6,6,0,7,0,12,0,0,1,30,31,30,0,500,2318,160000,133794,160000
450.4,5,51,50,3,13,0,7,54,0,1,6,6,0,8,0,13,0,0,3,30,33,30,0,500,2340,160000,133794,160000
480.5,5,51,50,3,15,0,7,56,0,2,6,6,0,9,0,13,0,0,3,31,34,31,0,500,2355,160000,133794,160000
510.5,6,51,50,3,17,0,7,57,0,2,6,6,0,10,0,14,0,0,5,31,36,31,0,500,2372,160000,133794,160000
540.5,6,51,50,3,18,0,7,58,0,2,6,6,0,11,0,15,0,0,5,31,36,31,0,500,2393,160000,133794,160000
570.6,6,51,50,3,20,0,7,60,0,2,6,6,0,11,0,15,0,0,4,32,36,32,0,500,2410,160000,133794,160000
600.6,4,51,50,3,21,0,7,63,0,0,6,6,0,11,0,17,0,0,3,34,37,34,0,500,2432,160000,133794,160000
630.7,3,51,50,3,22,0,8,64,0,2,6,6,0,13,0,17,0,0,1,36,37,36,0,500,2456,160000,133794,160000
660.7,1,51,50,3,23,0,8,67,0,2,6,6,0,13,0,17,0,0,2,36,38,36,0,500,2476,160000,133794,160000
690.8,2,51,50,3,24,0,8,67,0,2,6,6,0,13,0,17,0,0,2,36,38,36,0,500,2494,160000,133794,160000
720.8,2,51,50,3,24,0,8,67,0,1,6,6,0,14,0,19,0,0,1,37,38,37,0,500,2515,160000,133794,160000
750.8,3,51,50,3,25,0,8,67,0,2,6,6,0,15,0,19,0,0,2,37,39,37,0,500,2539,160000,133794,160000
780.9,3,51,50,3,26,0,8,68,0,2,6,6,0,15,0,19,0,0,2,37,39,37,0,500,2561,160000,133794,160000
810.9,4,51,50,3,27,0,8,68,0,2,6,6,0,16,0,20,0,0,1,38,39,38,0,500,2581,160000,133794,160000
841.0,2,51,50,3,27,0,8,70,0,2,6,6,0,17,0,21,0,0,1,38,39,38,0,500,2601,160000,133794,160000
871.0,3,51,50,3,29,0,8,71,0,2,6,6,0,17,0,21,0,0,0,39,39,39,0,500,2620,160000,133794,160000
901.1,3,51,50,3,31,0,8,73,0,1,6,6,0,17,0,22,0,0,0,39,39,39,0,500,2636,160000,133794,160000
931.1,3,51,50,3,32,0,8,74,0,2,6,6,0,19,0,23,0,0,0,39,39,39,0,500,2657,160000,133794,160000
961.1,4,51,50,3,33,0,8,74,0,2,6,6,0,19,0,23,0,0,0,39,39,39,0,500,2681,160000,133794,160000
991.2,2,51,50,3,33,0,8,76,0,2,6,6,0,20,0,24,0,0,0,39,39,39,0,500,2699,160000,133794,160000
1021.2,1,51,50,3,33,0,8,77,0,1,6,6,0,20,0,25,0,0,0,39,39,39,0,500,2718,160000,133794,160000
1051.3,0,51,50,3,33,0,8,78,0,1,6,6,0,21,0,26,0,0,0,39,39,39,0,500,2746,160000,133794,160000
1081.3,1,51,50,3,34,0,8,78,0,2,6,6,0,22,0,26,0,0,0,39,39,39,0,500,2759,160000,133794,160000
1111.3,2,51,50,3,35,0,8,78,0,2,6,6,0,23,0,27,0,0,0,39,39,39,0,500,2780,160000,133794,160000
1141.3,2,51,50,3,35,0,8,78,0,2,6,6,0,23,0,27,0,0,0,39,39,39,0,500,2805,160000,133794,160000
1171.4,4,51,50,3,37,0,8,78,0,1,6,6,0,24,0,29,0,0,0,39,39,39,0,500,2827,160000,133794,160000
1200.0,6,51,50,3,39,0,8,78,0,2,6,6,0,25,0,29,0,0,0,39,39,39,0,500,2845,160000,133794,160000
