t_sec,ff_count,ff_peak,ff_born_init,ff_born_breed,ff_born_replenish,ff_born_moss,ff_died_age,ff_died_hunger,ff_died_predator,worm_count,worm_peak,worm_born_init,worm_born_breed,worm_born_replenish,worm_died_age,worm_died_hunger,worm_killed_ff,worm_cells_dug,crystal_growing,crystal_mature,crystal_seeded,crystal_matured,crystal_destroyed,mushroom_count,moss_active,moss_total,rock_count,rock_total
30.0,50,50,50,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,16,0,16,0,0,500,6272,160000,78249,160000
60.1,48,50,50,1,0,0,0,3,0,6,6,6,0,0,0,0,0,0,27,0,27,0,0,500,6316,160000,78249,160000
90.1,39,50,50,3,0,0,0,14,0,1,6,6,0,0,0,5,0,0,49,0,49,0,0,500,6349,160000,78249,160000
120.1,32,50,50,3,0,0,0,21,0,1,6,6,0,1,0,6,0,0,65,0,65,0,0,500,6388,160000,78249,160000
150.1,24,50,50,5,0,1,7,25,0,2,6,6,0,2,0,6,0,0,64,14,78,14,0,500,6425,160000,78249,160000
180.1,10,50,50,5,0,1,15,31,0,2,6,6,0,2,0,6,0,0,60,22,82,22,0,500,6465,160000,78249,160000
210.1,8,50,50,5,2,1,19,31,0,2,6,6,0,3,0,7,0,0,37,47,84,47,0,500,6501,160000,78249,160000
240.1,4,50,50,5,4,1,23,33,0,2,6,6,0,4,0,8,0,0,26,62,88,62,0,500,6539,160000,78249,160000
270.2,6,50,50,5,6,1,23,33,0,1,6,6,0,4,0,9,0,0,17,75,92,75,0,500,6589,160000,78249,160000
300.2,8,50,50,5,8,1,23,33,0,1,6,6,0,5,0,10,0,0,14,81,95,81,0,500,6629,160000,78249,160000
330.2,8,50,50,5,10,1,24,34,0,2,6,6,0,6,0,10,0,0,15,83,98,83,0,500,6677,160000,78249,160000
360.3,9,50,50,5,12,1,24,35,0,2,6,6,0,7,0,11,0,0,15,85,100,85,0,500,6726,160000,78249,160000
390.3,9,50,50,5,14,1,25,36,0,1,6,6,0,7,0,12,0,0,8,92,100,92,0,500,6773,160000,78249,160000
420.4,9,50,50,5,16,1,27,36,0,2,6,6,0,8,0,12,0,0,5,95,100,95,0,500,6818,160000,78249,160000
450.4,9,50,50,5,18,1,28,37,0,1,6,6,0,8,0,13,0,0,4,96,100,96,0,500,6866,160000,78249,160000
480.5,9,50,50,5,20,1,30,37,0,2,6,6,0,9,0,13,0,0,0,100,100,100,0,500,6905,160000,78249,160000
510.5,10,50,50,5,22,1,31,37,0,2,6,6,0,10,0,14,0,0,0,100,100,100,0,500,6955,160000,78249,160000
540.5,10,50,50,5,24,1,32,38,0,2,6,6,0,11,0,15,0,0,0,100,100,100,0,500,6991,160000,78249,160000
570.6,10,50,50,5,26,1,34,38,0,2,6,6,0,11,0,15,0,0,0,100,100,100,0,500,7024,160000,78249,160000
600.6,9,50,50,5,28,1,35,40,0,0,6,6,0,11,0,17,0,0,0,100,100,100,0,500,7076,160000,78249,160000
630.7,9,50,50,5,30,1,35,42,0,2,6,6,0,13,0,17,0,0,0,100,100,100,0,500,7121,160000,78249,160000
660.7,9,50,50,5,32,1,37,42,0,2,6,6,0,13,0,17,0,0,0,100,100,100,0,500,7164,160000,78249,160000
690.8,9,50,50,5,34,1,37,44,0,2,6,6,0,14,0,18,0,0,0,100,100,100,0,500,7203,160000,78249,160000
720.8,9,50,50,5,36,1,38,45,0,2,6,6,0,14,0,18,0,0,0,100,100,100,0,500,7246,160000,78249,160000
750.8,8,50,50,5,38,1,41,45,0,2,6,6,0,15,0,19,0,0,0,100,100,100,0,500,7287,160000,78249,160000
780.9,8,50,50,5,40,1,41,47,0,2,6,6,0,16,0,20,0,0,0,100,100,100,0,500,7329,160000,78249,160000
810.9,7,50,50,5,42,1,42,49,0,2,6,6,0,17,0,21,0,0,0,100,100,100,0,500,7385,160000,78249,160000
841.0,8,50,50,5,43,1,42,49,0,2,6,6,0,17,0,21,0,0,0,100,100,100,0,500,7440,160000,78249,160000
871.0,8,50,50,5,45,1,43,49,1,2,6,6,0,17,0,21,1,0,0,100,100,100,0,500,7489,160000,78249,160000
901.1,7,50,50,5,47,1,44,51,1,2,6,6,0,18,0,22,1,0,0,100,100,100,0,500,7536,160000,78249,160000
931.1,8,50,50,5,49,1,45,51,1,2,6,6,0,18,0,22,1,0,0,100,100,100,0,500,7586,160000,78249,160000
961.1,8,50,50,5,51,1,46,52,1,2,6,6,0,19,0,23,1,0,0,100,100,100,0,500,7621,160000,78249,160000
991.2,7,50,50,5,53,1,47,54,1,2,6,6,0,20,0,24,1,0,0,100,100,100,0,500,7660,160000,78249,160000
1021.2,8,50,50,5,55,1,48,54,1,1,6,6,0,20,0,25,1,0,0,100,100,100,0,500,7711,160000,78249,160000
1051.3,6,50,50,5,57,1,49,57,1,2,6,6,0,21,0,25,1,0,0,100,100,100,0,500,7759,160000,78249,160000
1081.3,7,50,50,5,59,1,50,57,1,2,6,6,0,22,0,26,1,0,0,100,100,100,0,500,7806,160000,78249,160000
1111.3,8,50,50,5,61,1,51,57,1,2,6,6,0,22,0,26,1,0,0,100,100,100,0,500,7854,160000,78249,160000
1141.3,8,50,50,5,63,1,51,59,1,2,6,6,0,23,0,27,1,0,0,100,100,100,0,500,7884,160000,78249,160000
1171.4,9,50,50,5,65,1,51,60,1,2,6,6,0,24,0,28,1,0,0,100,100,100,0,500,7919,160000,78249,160000
1200.0,7,50,50,5,67,1,52,63,1,2,6,6,0,24,0,28,1,0,0,100,100,100,0,500,7956,160000,78249,160000
