t_sec,ff_count,ff_peak,ff_born_init,ff_born_breed,ff_born_replenish,ff_born_moss,ff_died_age,ff_died_hunger,ff_died_predator,worm_count,worm_peak,worm_born_init,worm_born_breed,worm_born_replenish,worm_died_age,worm_died_hunger,worm_killed_ff,worm_cells_dug,crystal_growing,crystal_mature,crystal_seeded,crystal_matured,crystal_destroyed,mushroom_count,moss_active,moss_total,rock_count,rock_total
30.0,49,50,50,0,0,0,0,0,1,6,6,6,0,0,0,0,1,0,38,0,38,0,0,500,5121,160000,110447,160000
60.1,44,53,50,7,0,0,0,11,2,1,6,6,0,0,0,5,2,0,70,0,70,0,0,500,5147,160000,110447,160000
90.1,55,56,50,20,0,0,0,13,2,2,6,6,0,1,0,5,2,0,100,0,100,0,0,500,5176,160000,110447,160000
120.1,71,71,50,38,0,0,0,15,2,1,6,6,0,2,0,7,2,0,100,0,100,0,0,500,5223,160000,110447,160000
150.1,72,72,50,48,0,0,5,19,2,2,6,6,0,3,0,7,2,0,70,30,100,30,0,500,5249,160000,110447,160000
180.1,67,72,50,60,0,0,12,29,2,1,6,6,0,4,0,9,2,0,36,64,100,64,0,500,5282,160000,110447,160000
210.1,53,72,50,67,0,0,22,40,2,2,6,6,0,5,0,9,2,0,2,98,100,98,0,500,5312,160000,110447,160000
240.1,28,72,50,71,0,0,31,60,2,1,6,6,0,5,0,10,2,0,0,100,100,100,0,500,5342,160000,110447,160000
270.2,15,72,50,74,0,0,32,75,2,1,6,6,0,6,0,11,2,0,0,100,100,100,0,500,5384,160000,110447,160000
300.2,4,72,50,74,1,0,33,86,2,1,6,6,0,7,0,12,2,0,0,100,100,100,0,500,5410,160000,110447,160000
330.2,3,72,50,74,3,0,34,88,2,2,6,6,0,8,0,12,2,0,0,100,100,100,0,500,5438,160000,110447,160000
360.3,4,72,50,74,5,0,34,89,2,1,6,6,0,9,0,14,2,0,0,100,100,100,0,500,5470,160000,110447,160000
390.3,6,72,50,74,7,0,34,89,2,2,6,6,0,10,0,14,2,0,0,100,100,100,0,500,5501,160000,110447,160000
420.4,8,72,50,74,9,0,34,89,2,1,6,6,0,10,0,15,2,0,0,100,100,100,0,500,5527,160000,110447,160000
450.4,5,72,50,74,10,0,35,90,4,2,6,6,0,11,0,15,4,0,0,100,100,100,0,500,5550,160000,110447,160000
480.5,5,72,50,74,12,0,35,92,4,1,6,6,0,11,0,16,4,0,0,100,100,100,0,500,5596,160000,110447,160000
510.5,7,72,50,74,14,0,35,92,4,1,6,6,0,12,0,17,4,0,0,100,100,100,0,500,5631,160000,110447,160000
540.5,8,72,50,74,16,0,36,92,4,2,6,6,0,13,0,17,4,0,0,100,100,100,0,500,5661,160000,110447,160000
570.6,9,72,50,74,18,0,37,92,4,1,6,6,0,13,0,18,4,0,0,100,100,100,0,500,5687,160000,110447,160000
600.6,9,72,50,74,20,0,38,93,4,1,6,6,0,14,0,19,4,0,0,100,100,100,0,500,5718,160000,110447,160000
630.7,10,72,50,74,22,0,39,93,4,2,6,6,0,16,0,20,4,0,0,100,100,100,0,500,5745,160000,110447,160000
660.7,9,72,50,74,24,0,41,94,4,2,6,6,0,17,0,21,4,0,0,100,100,100,0,500,5778,160000,110447,160000
690.8,10,72,50,74,26,0,42,94,4,1,6,6,0,17,0,22,4,0,0,100,100,100,0,500,5812,160000,110447,160000
720.8,10,72,50,74,27,0,43,94,4,1,6,6,0,18,0,23,4,0,0,100,100,100,0,500,5840,160000,110447,160000
750.8,7,72,50,74,29,0,44,98,4,2,6,6,0,19,0,23,4,0,0,100,100,100,0,500,5881,160000,110447,160000
780.9,8,72,50,74,31,0,45,98,4,1,6,6,0,20,0,25,4,0,0,100,100,100,0,500,5919,160000,110447,160000
810.9,9,72,50,75,33,0,46,99,4,2,6,6,0,21,0,25,4,0,0,100,100,100,0,500,5962,160000,110447,160000
841.0,10,72,50,75,35,0,47,99,4,1,6,6,0,21,0,26,4,0,0,100,100,100,0,500,5987,160000,110447,160000
871.0,9,72,50,75,37,0,47,102,4,1,6,6,0,22,0,27,4,0,0,100,100,100,0,500,6029,160000,110447,160000
901.1,7,72,50,75,37,0,47,104,4,1,6,6,0,23,0,28,4,0,0,100,100,100,0,500,6070,160000,110447,160000
931.1,6,72,50,75,39,0,49,105,4,2,6,6,0,24,0,28,4,0,0,100,100,100,0,500,6101,160000,110447,160000
961.1,5,72,50,75,41,0,51,106,4,1,6,6,0,25,0,30,4,0,0,100,100,100,0,500,6127,160000,110447,160000
991.2,7,72,50,75,43,0,51,106,4,2,6,6,0,26,0,30,4,0,0,100,100,100,0,500,6170,160000,110447,160000
1021.2,6,72,50,75,45,0,51,109,4,2,6,6,0,27,0,31,4,0,0,100,100,100,0,500,6203,160000,110447,160000
1051.3,7,72,50,75,47,0,52,109,4,2,6,6,0,28,0,32,4,0,0,100,100,100,0,500,6226,160000,110447,160000
1081.3,6,72,50,75,49,0,52,112,4,1,6,6,0,29,0,34,4,0,0,100,100,100,0,500,6262,160000,110447,160000
1111.3,4,72,50,75,50,0,52,115,4,2,6,6,0,30,0,34,4,0,0,100,100,100,0,500,6288,160000,110447,160000
1141.3,4,72,50,75,52,0,53,116,4,2,6,6,0,31,0,35,4,0,0,100,100,100,0,500,6321,160000,110447,160000
1171.4,4,72,50,75,54,0,53,118,4,1,6,6,0,32,0,37,4,0,0,100,100,100,0,500,6350,160000,110447,160000
1200.0,5,72,50,75,55,0,53,118,4,2,6,6,0,33,0,37,4,0,0,100,100,100,0,500,6391,160000,110447,160000
