t_sec,ff_count,ff_peak,ff_born_init,ff_born_breed,ff_born_replenish,ff_born_moss,ff_died_age,ff_died_hunger,ff_died_predator,worm_count,worm_peak,worm_born_init,worm_born_breed,worm_born_replenish,worm_died_age,worm_died_hunger,worm_killed_ff,worm_cells_dug,crystal_growing,crystal_mature,crystal_seeded,crystal_matured,crystal_destroyed,mushroom_count,moss_active,moss_total,rock_count,rock_total
30.0,49,50,50,0,0,0,0,0,1,6,6,6,0,0,0,0,1,0,19,0,19,0,0,500,3343,160000,117339,160000
60.1,45,50,50,1,0,0,0,4,2,6,6,6,0,0,0,0,2,0,35,0,35,0,0,500,3371,160000,117339,160000
90.1,38,50,50,4,0,0,0,11,5,6,6,6,0,0,0,0,5,0,49,0,49,0,0,500,3406,160000,117339,160000
120.1,28,50,50,7,0,0,0,23,6,6,6,6,0,0,0,0,6,0,62,0,62,0,0,500,3428,160000,117339,160000
150.1,21,50,50,7,0,0,2,27,7,4,6,6,0,0,2,0,7,0,50,18,68,18,0,500,3456,160000,117339,160000
180.1,12,50,50,8,0,0,7,31,8,1,6,6,0,0,5,0,8,0,48,28,76,28,0,500,3485,160000,117339,160000
210.1,6,50,50,8,2,0,15,31,8,1,6,6,0,1,6,0,8,0,33,47,80,47,0,500,3510,160000,117339,160000
240.1,6,50,50,8,3,0,16,31,8,2,6,6,0,2,6,0,8,0,19,61,80,61,0,500,3534,160000,117339,160000
270.2,6,50,50,8,4,0,16,32,8,2,6,6,0,2,6,0,8,0,17,67,84,67,0,500,3563,160000,117339,160000
300.2,6,50,50,8,6,0,17,33,8,2,6,6,0,2,6,0,8,0,11,75,86,75,0,500,3592,160000,117339,160000
330.2,5,50,50,8,7,0,18,34,8,1,6,6,0,2,7,0,8,0,7,80,87,80,0,500,3616,160000,117339,160000
360.3,6,50,50,8,9,0,18,35,8,2,6,6,0,3,7,0,8,0,8,80,88,80,0,500,3654,160000,117339,160000
390.3,7,50,50,8,11,0,19,35,8,2,6,6,0,3,7,0,8,0,5,83,88,83,0,500,3682,160000,117339,160000
420.4,6,50,50,8,12,0,19,37,8,2,6,6,0,4,7,1,8,0,5,84,89,84,0,500,3701,160000,117339,160000
450.4,7,50,50,8,14,0,19,38,8,2,6,6,0,4,7,1,8,0,5,87,92,87,0,500,3740,160000,117339,160000
480.5,9,50,50,8,16,0,19,38,8,2,6,6,0,4,7,1,8,0,7,88,95,88,0,500,3769,160000,117339,160000
510.5,10,50,50,8,18,0,20,38,8,2,6,6,0,5,7,2,8,0,11,88,99,88,0,500,3796,160000,117339,160000
540.5,9,50,50,8,20,0,21,40,8,2,6,6,0,5,7,2,8,0,11,89,100,89,0,500,3836,160000,117339,160000
570.6,5,50,50,8,20,0,22,43,8,1,6,6,0,5,7,3,8,0,9,91,100,91,0,500,3858,160000,117339,160000
600.6,3,50,50,8,20,0,23,44,8,2,6,6,0,6,7,3,8,0,5,95,100,95,0,500,3891,160000,117339,160000
630.7,3,50,50,8,22,0,24,45,8,2,6,6,0,6,7,3,8,0,2,98,100,98,0,500,3931,160000,117339,160000
660.7,5,50,50,8,24,0,24,45,8,2,6,6,0,6,7,3,8,0,0,100,100,100,0,500,3963,160000,117339,160000
690.8,6,50,50,8,25,0,24,45,8,1,6,6,0,6,7,4,8,0,0,100,100,100,0,500,3990,160000,117339,160000
720.8,7,50,50,8,27,0,24,46,8,2,6,6,0,7,7,4,8,0,0,100,100,100,0,500,4017,160000,117339,160000
750.8,7,50,50,8,29,0,25,47,8,1,6,6,0,7,7,5,8,0,0,100,100,100,0,500,4043,160000,117339,160000
780.9,6,50,50,8,30,0,26,48,8,2,6,6,0,8,7,5,8,0,0,100,100,100,0,500,4074,160000,117339,160000
810.9,8,50,50,8,32,0,26,48,8,2,6,6,0,8,7,5,8,0,0,100,100,100,0,500,4103,160000,117339,160000
841.0,7,50,50,8,34,0,26,51,8,1,6,6,0,8,8,5,8,0,0,100,100,100,0,500,4126,160000,117339,160000
871.0,6,50,50,8,35,0,28,51,8,2,6,6,0,9,8,5,8,0,0,100,100,100,0,500,4147,160000,117339,160000
901.1,6,50,50,8,36,0,28,52,8,1,6,6,0,9,8,6,8,0,0,100,100,100,0,500,4176,160000,117339,160000
931.1,6,50,50,8,38,0,29,53,8,2,6,6,0,10,8,6,8,0,0,100,100,100,0,500,4206,160000,117339,160000
961.1,5,50,50,8,39,0,29,55,8,2,6,6,0,10,8,6,8,0,0,100,100,100,0,500,4230,160000,117339,160000
991.2,5,50,50,8,40,0,29,56,8,1,6,6,0,10,9,6,8,0,0,100,100,100,0,500,4260,160000,117339,160000
1021.2,6,50,50,8,42,0,30,56,8,2,6,6,0,11,9,6,8,0,0,100,100,100,0,500,4294,160000,117339,160000
1051.3,7,50,50,8,43,0,30,56,8,2,6,6,0,11,9,6,8,0,0,100,100,100,0,500,4320,160000,117339,160000
1081.3,6,50,50,8,45,0,31,58,8,2,6,6,0,12,9,7,8,0,0,100,100,100,0,500,4356,160000,117339,160000
1111.3,5,50,50,8,46,0,33,58,8,2,6,6,0,12,9,7,8,0,0,100,100,100,0,500,4389,160000,117339,160000
1141.3,7,50,50,8,48,0,33,58,8,2,6,6,0,13,9,8,8,0,0,100,100,100,0,500,4419,160000,117339,160000
1171.4,7,50,50,8,49,0,33,59,8,2,6,6,0,13,9,8,8,0,0,100,100,100,0,500,4454,160000,117339,160000
1200.0,7,50,50,8,51,0,34,60,8,2,6,6,0,13,9,8,8,0,0,100,100,100,0,500,4479,160000,117339,160000
