t_sec,ff_count,ff_peak,ff_born_init,ff_born_breed,ff_born_replenish,ff_born_moss,ff_died_age,ff_died_hunger,ff_died_predator,worm_count,worm_peak,worm_born_init,worm_born_breed,worm_born_replenish,worm_died_age,worm_died_hunger,worm_killed_ff,worm_cells_dug,crystal_growing,crystal_mature,crystal_seeded,crystal_matured,crystal_destroyed,mushroom_count,moss_active,moss_total,rock_count,rock_total
30.0,50,50,50,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,26,0,26,0,0,500,4427,160000,114895,160000
60.1,41,50,50,3,0,0,0,12,0,6,6,6,0,0,0,0,0,0,56,0,56,0,0,500,4450,160000,114895,160000
90.1,42,50,50,9,0,0,0,17,0,2,6,6,0,0,0,4,0,0,85,0,85,0,0,500,4477,160000,114895,160000
120.1,43,50,50,13,0,0,0,20,0,1,6,6,0,1,0,6,0,0,100,0,100,0,0,500,4501,160000,114895,160000
150.1,38,50,50,19,0,0,8,23,0,2,6,6,0,2,0,6,0,0,77,23,100,23,0,500,4532,160000,114895,160000
180.1,30,50,50,21,0,0,16,25,0,1,6,6,0,2,0,7,0,0,51,49,100,49,0,500,4566,160000,114895,160000
210.1,20,50,50,22,0,0,22,29,1,1,6,6,0,3,0,8,1,0,17,83,100,83,0,500,4590,160000,114895,160000
240.1,14,50,50,23,0,0,26,32,1,2,6,6,0,4,0,8,1,0,0,100,100,100,0,500,4623,160000,114895,160000
270.2,11,50,50,25,1,0,28,36,1,2,6,6,0,4,0,8,1,0,0,100,100,100,0,500,4643,160000,114895,160000
300.2,11,50,50,27,2,0,30,37,1,2,6,6,0,4,0,8,1,0,0,100,100,100,0,500,4675,160000,114895,160000
330.2,9,50,50,27,4,0,33,38,1,1,6,6,0,5,0,10,1,0,0,100,100,100,0,500,4700,160000,114895,160000
360.3,9,50,50,27,6,0,34,39,1,2,6,6,0,6,0,10,1,0,0,100,100,100,0,500,4734,160000,114895,160000
390.3,9,50,50,27,8,0,35,40,1,2,6,6,0,6,0,10,1,0,0,100,100,100,0,500,4755,160000,114895,160000
420.4,8,50,50,27,10,0,36,42,1,1,6,6,0,6,0,11,1,0,0,100,100,100,0,500,4789,160000,114895,160000
450.4,7,50,50,27,12,0,37,44,1,1,6,6,0,7,0,12,1,0,0,100,100,100,0,500,4812,160000,114895,160000
480.5,6,50,50,27,13,0,37,45,2,2,6,6,0,8,0,12,2,0,0,100,100,100,0,500,4843,160000,114895,160000
510.5,5,50,50,27,15,0,38,47,2,2,6,6,0,8,0,12,2,0,0,100,100,100,0,500,4879,160000,114895,160000
540.5,7,50,50,27,17,0,38,47,2,2,6,6,0,9,0,13,2,0,0,100,100,100,0,500,4910,160000,114895,160000
570.6,8,50,50,27,19,0,39,47,2,2,6,6,0,9,0,13,2,0,0,100,100,100,0,500,4937,160000,114895,160000
600.6,8,50,50,27,21,0,41,47,2,2,6,6,0,10,0,14,2,0,0,100,100,100,0,500,4966,160000,114895,160000
630.7,9,50,50,27,23,0,41,48,2,2,6,6,0,11,0,15,2,0,0,100,100,100,0,500,4998,160000,114895,160000
660.7,10,50,50,28,25,0,41,49,3,2,6,6,0,11,0,15,3,0,0,100,100,100,0,500,5024,160000,114895,160000
690.8,8,50,50,28,26,0,42,51,3,2,6,6,0,12,0,16,3,0,0,100,100,100,0,500,5055,160000,114895,160000
720.8,8,50,50,28,28,0,42,53,3,1,6,6,0,12,0,17,3,0,0,100,100,100,0,500,5081,160000,114895,160000
750.8,7,50,50,28,30,0,44,54,3,1,6,6,0,13,0,18,3,0,0,100,100,100,0,500,5113,160000,114895,160000
780.9,9,50,50,28,32,0,44,54,3,2,6,6,0,14,0,18,3,0,0,100,100,100,0,500,5142,160000,114895,160000
810.9,7,50,50,28,33,0,45,56,3,2,6,6,0,14,0,18,3,0,0,100,100,100,0,500,5177,160000,114895,160000
841.0,6,50,50,28,35,0,46,58,3,2,6,6,0,15,0,19,3,0,0,100,100,100,0,500,5208,160000,114895,160000
871.0,5,50,50,28,37,0,47,60,3,2,6,6,0,16,0,20,3,0,0,100,100,100,0,500,5240,160000,114895,160000
901.1,6,50,50,28,38,0,47,60,3,1,6,6,0,16,0,21,3,0,0,100,100,100,0,500,5277,160000,114895,160000
931.1,7,50,50,28,40,0,48,60,3,2,6,6,0,17,0,21,3,0,0,100,100,100,0,500,5307,160000,114895,160000
961.1,8,50,50,28,42,0,48,61,3,2,6,6,0,18,0,22,3,0,0,100,100,100,0,500,5331,160000,114895,160000
991.2,9,50,50,28,44,0,49,61,3,2,6,6,0,18,0,22,3,0,0,100,100,100,0,500,5361,160000,114895,160000
1021.2,9,50,50,28,45,0,49,62,3,2,6,6,0,19,0,23,3,0,0,100,100,100,0,500,5401,160000,114895,160000
1051.3,8,50,50,28,47,0,51,63,3,1,6,6,0,19,0,24,3,0,0,100,100,100,0,500,5441,160000,114895,160000
1081.3,6,50,50,28,48,0,52,65,3,2,6,6,0,21,0,25,3,0,0,100,100,100,0,500,5473,160000,114895,160000
1111.3,4,50,50,28,50,0,53,68,3,2,6,6,0,21,0,25,3,0,0,100,100,100,0,500,5502,160000,114895,160000
1141.3,5,50,50,28,52,0,53,69,3,1,6,6,0,21,0,26,3,0,0,100,100,100,0,500,5538,160000,114895,160000
1171.4,7,50,50,28,54,0,53,69,3,1,6,6,0,22,0,27,3,0,0,100,100,100,0,500,5574,160000,114895,160000
1200.0,7,50,50,28,55,0,53,70,3,2,6,6,0,23,0,27,3,0,0,100,100,100,0,500,5597,160000,114895,160000
