t_sec,ff_count,ff_peak,ff_born_init,ff_born_breed,ff_born_replenish,ff_born_moss,ff_died_age,ff_died_hunger,ff_died_predator,worm_count,worm_peak,worm_born_init,worm_born_breed,worm_born_replenish,worm_died_age,worm_died_hunger,worm_killed_ff,worm_cells_dug,crystal_growing,crystal_mature,crystal_seeded,crystal_matured,crystal_destroyed,mushroom_count,moss_active,moss_total,rock_count,rock_total
30.0,50,50,50,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,13,0,13,0,0,500,3197,160000,118017,160000
60.1,44,52,50,5,0,0,0,10,1,6,6,6,0,0,0,0,1,0,27,0,27,0,0,500,3225,160000,118017,160000
90.1,46,52,50,12,0,0,0,15,1,5,6,6,0,0,0,1,1,0,41,0,41,0,0,500,3250,160000,118017,160000
120.1,33,52,50,12,0,0,0,28,1,1,6,6,0,1,0,6,1,0,54,0,54,0,0,500,3276,160000,118017,160000
150.1,18,52,50,14,0,0,5,40,1,2,6,6,0,2,0,6,1,0,53,10,63,10,0,500,3292,160000,118017,160000
180.1,15,52,50,16,0,0,9,41,1,2,6,6,0,2,0,6,1,0,49,25,74,25,0,500,3320,160000,118017,160000
210.1,9,52,50,16,0,0,12,44,1,2,6,6,0,3,0,7,1,0,36,39,75,39,0,500,3349,160000,118017,160000
240.1,4,52,50,16,2,0,16,47,1,2,6,6,0,4,0,8,1,0,24,53,77,53,0,500,3383,160000,118017,160000
270.2,5,52,50,16,4,0,17,47,1,2,6,6,0,4,0,8,1,0,16,62,78,62,0,500,3417,160000,118017,160000
300.2,5,52,50,16,4,0,17,47,1,1,6,6,0,4,0,9,1,0,7,73,80,73,0,500,3436,160000,118017,160000
330.2,6,52,50,16,6,0,17,48,1,2,6,6,0,6,0,10,1,0,7,75,82,75,0,500,3462,160000,118017,160000
360.3,7,52,50,16,8,0,17,49,1,2,6,6,0,6,0,10,1,0,8,76,84,76,0,500,3487,160000,118017,160000
390.3,7,52,50,16,10,0,18,50,1,1,6,6,0,6,0,11,1,0,6,78,84,78,0,500,3509,160000,118017,160000
420.4,7,52,50,16,12,0,19,51,1,2,6,6,0,7,0,11,1,0,5,80,85,80,0,500,3533,160000,118017,160000
450.4,4,52,50,16,13,0,21,53,1,2,6,6,0,8,0,12,1,0,4,82,86,82,0,500,3561,160000,118017,160000
480.5,5,52,50,16,15,0,21,54,1,2,6,6,0,8,0,12,1,0,3,84,87,84,0,500,3581,160000,118017,160000
510.5,6,52,50,16,16,0,21,54,1,2,6,6,0,9,0,13,1,0,3,84,87,84,0,500,3614,160000,118017,160000
540.5,6,52,50,16,17,0,21,55,1,2,6,6,0,10,0,14,1,0,2,85,87,85,0,500,3636,160000,118017,160000
570.6,6,52,50,16,19,0,22,56,1,1,6,6,0,10,0,15,1,0,1,86,87,86,0,500,3669,160000,118017,160000
600.6,5,52,50,16,20,0,23,57,1,2,6,6,0,11,0,15,1,0,1,87,88,87,0,500,3693,160000,118017,160000
630.7,4,52,50,16,22,0,24,59,1,2,6,6,0,12,0,16,1,0,1,87,88,87,0,500,3730,160000,118017,160000
660.7,4,52,50,16,24,0,24,61,1,1,6,6,0,12,0,17,1,0,2,87,89,87,0,500,3757,160000,118017,160000
690.8,4,52,50,16,25,0,24,62,1,2,6,6,0,13,0,17,1,0,4,87,91,87,0,500,3788,160000,118017,160000
720.8,5,52,50,16,27,0,24,63,1,2,6,6,0,14,0,18,1,0,6,87,93,87,0,500,3826,160000,118017,160000
750.8,7,52,50,16,29,0,24,63,1,1,6,6,0,14,0,19,1,0,8,88,96,88,0,500,3863,160000,118017,160000
780.9,8,52,50,16,30,0,24,63,1,2,6,6,0,15,0,19,1,0,7,89,96,89,0,500,3885,160000,118017,160000
810.9,7,52,50,16,32,0,25,65,1,2,6,6,0,16,0,20,1,0,9,91,100,91,0,500,3914,160000,118017,160000
841.0,8,52,50,16,34,0,26,65,1,1,6,6,0,16,0,21,1,0,7,93,100,93,0,500,3943,160000,118017,160000
871.0,6,52,50,16,35,0,26,68,1,2,6,6,0,17,0,21,1,0,4,96,100,96,0,500,3979,160000,118017,160000
901.1,4,52,50,16,36,0,28,69,1,1,6,6,0,17,0,22,1,0,4,96,100,96,0,500,4008,160000,118017,160000
931.1,5,52,50,16,38,0,29,69,1,2,6,6,0,19,0,23,1,0,0,100,100,100,0,500,4039,160000,118017,160000
961.1,6,52,50,16,39,0,29,69,1,2,6,6,0,19,0,23,1,0,0,100,100,100,0,500,4065,160000,118017,160000
991.2,6,52,50,16,41,0,29,70,2,1,6,6,0,19,0,24,2,0,0,100,100,100,0,500,4099,160000,118017,160000
1021.2,4,52,50,16,43,0,32,71,2,2,6,6,0,20,0,24,2,0,0,100,100,100,0,500,4121,160000,118017,160000
1051.3,4,52,50,16,45,0,32,73,2,1,6,6,0,20,0,25,2,0,0,100,100,100,0,500,4158,160000,118017,160000
1081.3,5,52,50,16,47,0,33,73,2,2,6,6,0,21,0,25,2,0,0,100,100,100,0,500,4184,160000,118017,160000
1111.3,5,52,50,16,49,0,33,75,2,2,6,6,0,22,0,26,2,0,0,100,100,100,0,500,4203,160000,118017,160000
1141.3,6,52,50,16,50,0,33,75,2,1,6,6,0,22,0,27,2,0,0,100,100,100,0,500,4236,160000,118017,160000
1171.4,5,52,50,16,51,0,33,77,2,2,6,6,0,23,0,27,2,0,0,100,100,100,0,500,4271,160000,118017,160000
1200.0,7,52,50,16,53,0,33,77,2,1,6,6,0,23,0,28,2,0,0,100,100,100,0,500,4291,160000,118017,160000
